X,Y,ProfileID,ExMg,ExK
37.79482,-0.1688,KE SOTER_122/1-3,9.199999999999999,0.080000000000000
37.67,-0.08,KE SOTER_122/1-30,1.600000000000000,0.320000000000000
37.57632,-0.11767,KE SOTER_122/1-47,0.260000000000000,0.230000000000000
37.60053,-0.22186,KE SOTER_122/1-55,0.800000000000000,0.110000000000000
37.88503,-0.11952,KE SOTER_122/2-12,-9999.000000000000000,-9999.000000000000000
37.85934,-0.06698,KE SOTER_122/2-14,0.900000000000000,0.000000000000000
37.9737,-0.322,KE SOTER_122/4-112,-9999.000000000000000,-9999.000000000000000
37.7953,-0.4671,KE SOTER_122/4-2,-9999.000000000000000,-9999.000000000000000
37.87,-0.47,KE SOTER_122/4-5,2.300000000000000,0.080000000000000
37.8614,-0.3419,KE SOTER_122/4-7,-9999.000000000000000,-9999.000000000000000
37.90994,-0.46947,KE SOTER_122/4-82,4.900000000000000,0.200000000000000
37.9333,-0.4821,KE SOTER_122/4-98,-9999.000000000000000,-9999.000000000000000
37.2888,-0.661,KE SOTER_135/2-2,8.000000000000000,0.140000000000000
37.5118,-0.7398,KE SOTER_136/1-18,3.400000000000000,0.400000000000000
37.5475,-0.6176,KE SOTER_136/1-2,1.000000000000000,0.200000000000000
37.6403,-0.5565,KE SOTER_136/1-4,0.600000000000000,0.100000000000000
37.6176,-0.5814,KE SOTER_136/1-5,1.000000000000000,0.200000000000000
37.7262,-0.7159,KE SOTER_136/1-53,4.000000000000000,0.900000000000000
37.699,-0.6357,KE SOTER_136/1-59,-9999.000000000000000,-9999.000000000000000
37.6448,-0.6923,KE SOTER_136/1-60,0.600000000000000,0.100000000000000
37.9796,-0.638,KE SOTER_136/2-29,0.900000000000000,0.700000000000000
37.7737,-0.6097,KE SOTER_136/2-58,-9999.000000000000000,-9999.000000000000000
37.5158,-0.7624,KE SOTER_136/3-16,15.600000000000000,0.200000000000000
37.28604,-0.1644,KE SOTER_ASS/P44,-9999.000000000000000,-9999.000000000000000
37.2617,-0.1779,KE SOTER_ASS/P45,-9999.000000000000000,-9999.000000000000000
37.2918,-0.25,KE SOTER_ASS/P57,1.700000000000000,0.800000000000000
37.2919,-0.28828,KE SOTER_ASS/P58,0.500000000000000,0.200000000000000
37.461111,-0.172222,KE wasp_38,0.300000000000000,0.200000000000000
37.511111,-0.209722,KE wasp_39,0.000000000000000,0.300000000000000
37.538889,-0.354167,KE wasp_40,0.000000000000000,0.000000000000000
37.541667,-0.354167,KE wasp_41,2.600000000000000,1.500000000000000
37.536111,-0.355556,KE wasp_42,1.300000000000000,0.800000000000000
37.576389,-0.380556,KE wasp_43,0.300000000000000,0.100000000000000
37.627778,-0.411111,KE wasp_44,2.200000000000000,1.500000000000000
37.625,-0.413889,KE wasp_45,3.300000000000000,0.100000000000000
37.623611,-0.416667,KE wasp_46,2.900000000000000,0.100000000000000
37.7,-0.451389,KE wasp_47,2.100000000000000,0.100000000000000
37.698611,-0.451389,KE wasp_48,0.800000000000000,0.700000000000000
37.698611,-0.452778,KE wasp_49,4.100000000000000,0.700000000000000
37.451667,-0.552222,KE wasp_5,1.100000000000000,0.400000000000000
37.772222,-0.452778,KE wasp_50,6.400000000000000,0.200000000000000
37.790278,-0.461111,KE wasp_51,4.300000000000000,0.100000000000000
37.805556,-0.444444,KE wasp_52,12.500000000000000,0.400000000000000
37.972222,-0.152222,KE wasp_53,3.400000000000000,0.100000000000000
38.244444,-0.227778,KE wasp_55,3.000000000000000,0.400000000000000
37.466667,-0.533333,KE wasp_6,0.400000000000000,0.400000000000000
37.916667,-0.666667,KE wasp_7,2.000000000000000,0.300000000000000
37.786111,-0.316667,KE wasp_70,-9999.000000000000000,-9999.000000000000000
37.68,0.0344,KE SOTER_108/3-2,1.130000000000000,0.060000000000000
37.71,-0.02,KE SOTER_122/1-28,3.650000000000000,0.150000000000000
37.67,-0.09,KE SOTER_122/1-34,1.050000000000000,0.670000000000000
37.74,-0.09,KE SOTER_122/1-35,1.550000000000000,0.210000000000000
37.72,-0.11,KE SOTER_122/1-37,1.400000000000000,0.630000000000000
37.69,-0.15,KE SOTER_122/1-39,2.150000000000000,1.150000000000000
37.63,-0.08,KE SOTER_122/1-42,2.350000000000000,2.000000000000000
37.58,-0.08,KE SOTER_122/1-46,0.260000000000000,0.770000000000000
37.61,-0.13,KE SOTER_122/1-48,0.260000000000000,1.910000000000000
37.62,-0.15,KE SOTER_122/1-49,0.660000000000000,0.630000000000000
37.67,-0.17,KE SOTER_122/1-53,0.660000000000000,0.030000000000000
