ProfileID,ExMg,ExK,longitude,latitude
KE SOTER_122/4-2,-9999.000000000000000,-9999.000000000000000,37.795299999999997,-0.467100000000000
KE SOTER_122/4-5,2.300000000000000,0.080000000000000,37.869999999999997,-0.470000000000000
KE SOTER_122/4-82,4.900000000000000,0.200000000000000,37.909939999999999,-0.469470000000000
KE SOTER_136/1-18,3.400000000000000,0.400000000000000,37.511800000000001,-0.739800000000000
KE SOTER_136/1-2,1.000000000000000,0.200000000000000,37.547499999999999,-0.617600000000000
KE SOTER_136/1-4,0.600000000000000,0.100000000000000,37.640300000000003,-0.556500000000000
KE SOTER_136/1-5,1.000000000000000,0.200000000000000,37.617600000000003,-0.581400000000000
KE SOTER_136/1-53,4.000000000000000,0.900000000000000,37.726199999999999,-0.715900000000000
KE SOTER_136/1-59,-9999.000000000000000,-9999.000000000000000,37.698999999999998,-0.635700000000000
KE SOTER_136/1-60,0.600000000000000,0.100000000000000,37.644799999999996,-0.692300000000000
KE SOTER_136/2-58,-9999.000000000000000,-9999.000000000000000,37.773699999999998,-0.609700000000000
KE SOTER_136/3-16,15.600000000000000,0.200000000000000,37.515799999999999,-0.762400000000000
KE wasp_40,0.000000000000000,0.000000000000000,37.538888999999998,-0.354167000000000
KE wasp_41,2.600000000000000,1.500000000000000,37.541666999999997,-0.354167000000000
KE wasp_42,1.300000000000000,0.800000000000000,37.536110999999998,-0.355556000000000
KE wasp_43,0.300000000000000,0.100000000000000,37.576388999999999,-0.380556000000000
KE wasp_44,2.200000000000000,1.500000000000000,37.627777999999999,-0.411111000000000
KE wasp_45,3.300000000000000,0.100000000000000,37.625000000000000,-0.413889000000000
KE wasp_46,2.900000000000000,0.100000000000000,37.623610999999997,-0.416667000000000
KE wasp_47,2.100000000000000,0.100000000000000,37.700000000000003,-0.451389000000000
KE wasp_48,0.800000000000000,0.700000000000000,37.698611000000000,-0.451389000000000
KE wasp_49,4.100000000000000,0.700000000000000,37.698611000000000,-0.452778000000000
KE wasp_50,6.400000000000000,0.200000000000000,37.772221999999999,-0.452778000000000
KE wasp_51,4.300000000000000,0.100000000000000,37.790278000000001,-0.461111000000000
KE wasp_52,12.500000000000000,0.400000000000000,37.805556000000003,-0.444444000000000
KE wasp_6,0.400000000000000,0.400000000000000,37.466667000000001,-0.533333000000000
KE SOTER_122/3-128,0.100000000000000,0.100000000000000,37.520699999999998,-0.413900000000000
KE SOTER_122/3-13,0.700000000000000,0.100000000000000,37.537999999999997,-0.369000000000000
KE SOTER_122/3-17,0.500000000000000,0.200000000000000,37.649450000000002,-0.418500000000000
KE SOTER_122/3-30,0.700000000000000,0.200000000000000,37.688000000000002,-0.450700000000000
KE SOTER_122/3-4,1.200000000000000,0.200000000000000,37.749000000000002,-0.451400000000000
KE SOTER_122/3-48,-9999.000000000000000,-9999.000000000000000,37.536200000000001,-0.350700000000000
KE SOTER_122/3-53,0.500000000000000,0.700000000000000,37.698300000000003,-0.451400000000000
KE SOTER_122/3-54,4.400000000000001,1.000000000000000,37.698300000000003,-0.454900000000000
KE SOTER_122/4-6,11.800000000000001,0.400000000000000,37.854100000000003,-0.395600000000000
KE SOTER_136/1-22,15.000000000000000,0.500000000000000,37.540700000000001,-0.730000000000000
KE SOTER_136/1-51,3.000000000000000,0.200000000000000,37.692300000000003,-0.705800000000000
KE SOTER_136/1-8,2.100000000000000,0.900000000000000,37.549999999999997,-0.610000000000000
KE SOTER_136/3-23,8.699999999999999,0.400000000000000,37.580300000000001,-0.777820000000000
KE SOTER_122/1-55,0.800000000000000,0.110000000000000,37.600529999999999,-0.221860000000000
KE SOTER_122/2-12,-9999.000000000000000,-9999.000000000000000,37.885030000000000,-0.119520000000000
KE SOTER_122/4-112,-9999.000000000000000,-9999.000000000000000,37.973700000000001,-0.322000000000000
KE SOTER_122/4-7,-9999.000000000000000,-9999.000000000000000,37.861400000000003,-0.341900000000000
KE wasp_38,0.300000000000000,0.200000000000000,37.461111000000002,-0.172222000000000
KE wasp_39,0.000000000000000,0.300000000000000,37.511111000000000,-0.209722000000000
KE wasp_53,3.400000000000000,0.100000000000000,37.972222000000002,-0.152222000000000
KE wasp_70,-9999.000000000000000,-9999.000000000000000,37.786110999999998,-0.316667000000000
KE SOTER_122/1-54,0.220000000000000,0.530000000000000,37.530000000000001,-0.220000000000000
KE SOTER_122/2-10,18.600000000000001,0.010000000000000,37.869999999999997,-0.217000000000000
KE SOTER_122/2-26,3.500000000000000,0.100000000000000,37.850000000000001,-0.160000000000000
KE SOTER_122/2-5,0.300000000000000,0.010000000000000,37.829999999999998,-0.198000000000000
KE SOTER_122/2-6a,6.200000000000000,0.010000000000000,37.859999999999999,-0.220000000000000
KE SOTER_122/2-6b,2.200000000000000,0.920000000000000,37.859999999999999,-0.220000000000000
KE SOTER_122/3-3,2.300000000000000,0.700000000000000,37.726399999999998,-0.440400000000000
KE SOTER_122/4-114,1.200000000000000,0.200000000000000,37.959200000000003,-0.329600000000000
KE SOTER_122/4-40,3.500000000000000,1.000000000000000,37.766300000000001,-0.308600000000000
