"annual_ppt","bareground","driest_ppt","land_elevation","terrain_slope","treecover","valley_depth","wetness_index","wettest_ppt","X","Y","ExMg"
1188.50805664062,1,18.0496578216553,889,2,19,3278,101,264.279876708984,37.79482,-0.1688,9.2
1556.51049804688,1,27.2667961120605,1453,4,18,459,88,334.699279785156,37.67,-0.08,1.6
1879.29077148438,0,37.5767707824707,2091,7,42,-1412,78,398.589294433594,37.57632,-0.11767,0.26
1782.25183105469,0,34.7473907470703,1762,9,41,150,90,382.764801025391,37.60053,-0.22186,0.8
1049.60864257812,5,13.3294401168823,733,2,11,3715,110,247.773498535156,37.88503,-0.11952,3.05342465753425
1225.12280273438,7,16.55029296875,899,1,12,2430,120,275.767364501953,37.85934,-0.06698,0.9
821.913330078125,8,9.16051292419434,516,5,1,4540,99,189.685775756836,37.9737,-0.322,3.05342465753425
1260.26123046875,7,17.9311504364014,825,4,4,4542,104,284.848999023438,37.7953,-0.4671,3.05342465753425
1105.02575683594,10,14.1969013214111,712,3,5,5451,108,244.667892456055,37.87,-0.47,2.3
1007.93853759766,5,12.3567361831665,723,6,15,6181,118,237.188980102539,37.8614,-0.3419,3.05342465753425
736.811096191406,9,8.53749370574951,589,9,1,5802,102,165.131546020508,37.90994,-0.46947,4.9
600.757873535156,10,6.33929443359375,687,12,1,4343,88,135.706176757812,37.9333,-0.4821,3.05342465753425
1366.44311523438,9,36.9454193115234,1190,1,8,2611,115,302.565002441406,37.2888,-0.661,8
1024.787109375,20,17.2033443450928,1066,2,1,2279,116,224.19352722168,37.5118,-0.7398,3.4
1043.38586425781,2,23.6968212127686,1147,5,15,1099,110,233.864822387695,37.5475,-0.6176,1
942.202697753906,5,16.8789768218994,1150,2,8,1213,99,204.477584838867,37.6403,-0.5565,0.6
1173.87133789062,9,18.7793960571289,1177,1,3,1073,102,280.649261474609,37.6176,-0.5814,1
1341.9169921875,3,17.9158039093018,1028,2,13,4108,97,302.876861572266,37.7262,-0.7159,4
1268.34875488281,1,19.1575565338135,1114,6,17,3012,93,295.127227783203,37.699,-0.6357,3.05342465753425
1364.30432128906,20,20.3222484588623,1159,4,0,1622,96,301.163879394531,37.6448,-0.6923,0.6
638.213623046875,11,6.28097724914551,820,6,1,7005,91,151.40202331543,37.9796,-0.638,0.9
1029.72631835938,5,11.1613616943359,824,4,8,5624,96,256.462219238281,37.7737,-0.6097,3.05342465753425
1281.3095703125,17,20.771448135376,1103,4,6,1859,111,275.078002929688,37.5158,-0.7624,15.6
1202.91687011719,33,32.9472808837891,4379,21,0,1473,68,248.890579223633,37.28604,-0.1644,3.05342465753425
1104.7236328125,7,29.3705501556396,4012,22,10,1622,69,226.374816894531,37.2617,-0.1779,3.05342465753425
1978.59558105469,9,56.9770660400391,3437,17,10,3154,74,415.520355224609,37.2918,-0.25,1.7
2133.68017578125,2,61.3133773803711,3083,20,30,1990,76,446.666961669922,37.2919,-0.28828,0.5
2157.50756835938,0,50.7822532653809,2830,12,58,-705,80,455.459533691406,37.461111,-0.172222,0.3
2014.2939453125,0,44.1924591064453,2340,8,92,294,93,432.274230957031,37.511111,-0.209722,3.05342465753425
1834.91296386719,0,38.7509231567383,1687,10,74,2173,97,398.824645996094,37.538889,-0.354167,3.05342465753425
1834.91296386719,0,38.7509231567383,1687,10,74,2173,97,398.824645996094,37.541667,-0.354167,2.6
1834.91296386719,0,38.7509231567383,1687,10,74,2173,97,398.824645996094,37.536111,-0.355556,1.3
1715.15759277344,1,34.8766059875488,1583,3,24,1259,95,375.871917724609,37.576389,-0.380556,0.3
1622.92700195312,0,30.5923843383789,1406,4,23,-565,100,357.054504394531,37.627778,-0.411111,2.2
1627.44079589844,0,31.148889541626,1416,4,27,-397,97,358.772186279297,37.625,-0.413889,3.3
1614.18481445312,0,31.0114364624023,1373,5,40,-143,99,357.207397460938,37.623611,-0.416667,2.9
1460.14501953125,1,22.9430618286133,1151,2,20,160,105,324.081024169922,37.7,-0.451389,2.1
1460.14501953125,1,22.9430618286133,1151,2,20,160,105,324.081024169922,37.698611,-0.451389,0.8
1460.14501953125,1,22.9430618286133,1151,2,20,160,105,324.081024169922,37.698611,-0.452778,4.1
1515.16455078125,5,37.2063217163086,1336,4,15,2807,104,349.225280761719,37.451667,-0.552222,1.1
1393.65588378906,2,20.6671085357666,932,5,20,3438,92,308.714263916016,37.772222,-0.452778,6.4
1296.73559570312,11,18.7419815063477,868,3,3,4255,110,290.722991943359,37.790278,-0.461111,4.3
1229.416015625,6,17.0392055511475,818,2,8,4933,108,275.209228515625,37.805556,-0.444444,12.5
923.479064941406,7,11.2882480621338,585,2,6,3395,115,216.090087890625,37.972222,-0.152222,3.4
619.359497070312,24,3.37298727035522,579,2,0,-79,108,152.059982299805,38.244444,-0.227778,3
1499.13500976562,7,36.9178886413574,1346,7,11,2703,101,352.365112304688,37.466667,-0.533333,0.4
630.992858886719,25,6.68649196624756,706,4,0,7297,102,143.323867797852,37.916667,-0.666667,2
1302.00939941406,5,19.7231292724609,862,2,13,4615,102,291.394805908203,37.786111,-0.316667,3.05342465753425
1461.75891113281,1,24.5272407531738,1422,4,26,322,95,312.582397460938,37.68,0.0344,1.13
1418.82189941406,2,22.7682151794434,1307,8,19,699,99,305.170471191406,37.71,-0.02,3.65
1552.86560058594,0,27.3470973968506,1411,5,38,-125,89,335.47021484375,37.67,-0.09,1.05
1439.43395996094,2,23.1486721038818,1205,13,16,228,96,312.593811035156,37.74,-0.09,1.55
1416.72937011719,5,23.4622497558594,1144,18,10,323,94,311.33984375,37.72,-0.11,1.4
1350.38208007812,2,21.265682220459,1177,3,17,851,102,303.713684082031,37.69,-0.15,2.15
1671.37573242188,0,30.8418140411377,1719,12,37,-273,91,356.907684326172,37.63,-0.08,2.35
1828.51745605469,0,35.9487762451172,2034,9,43,-536,77,387.251556396484,37.58,-0.08,0.26
1705.95166015625,0,31.9997024536133,1843,19,24,-1075,86,364.308349609375,37.61,-0.13,0.26
1749.58654785156,0,32.734619140625,1807,7,58,-1769,81,373.146148681641,37.62,-0.15,0.66
1481.20007324219,0,24.6219577789307,1329,21,17,335,91,319.927429199219,37.67,-0.17,0.66
1983.80871582031,0,42.1677284240723,2177,11,73,225,89,423.019775390625,37.53,-0.22,0.22
1755.11254882812,0,33.8774299621582,1946,5,35,-929,82,371.022125244141,37.59,-0.03,1.42
1864.05285644531,0,37.1899299621582,2044,8,40,-771,78,395.764282226562,37.57,-0.11,3.05342465753425
1152.67687988281,8,15.1536617279053,807,2,9,4016,113,267.224456787109,37.87,-0.217,18.6
1292.73034667969,1,19.0225238800049,983,12,19,2912,97,286.783081054688,37.78,-0.08,1.88
1114.72229003906,4,13.8469247817993,805,9,10,2979,101,256.422607421875,37.91,-0.056,2.7
1312.47229003906,0,20.0010070800781,1004,2,31,2448,100,287.983093261719,37.78,-0.12,2.8
1411.75927734375,1,22.2094459533691,1248,7,24,1429,99,305.684448242188,37.73,-0.05,2
1130.25122070312,4,14.3368606567383,804,2,11,3794,101,262.893524169922,37.85,-0.16,3.5
1141.47314453125,10,16.7744407653809,849,1,9,3588,114,254.552017211914,37.83,-0.198,0.3
1088.611328125,4,15.49485206604,807,1,10,3986,109,248.007019042969,37.86,-0.22,6.2
1088.611328125,4,15.49485206604,807,1,10,3986,109,248.007019042969,37.86,-0.22,2.2
1882.58703613281,0,40.3298263549805,1762,17,36,-232,88,408.631866455078,37.5207,-0.4139,0.1
1833.28918457031,0,38.6580238342285,1744,9,38,991,95,398.051391601562,37.538,-0.369,0.7
1597.78308105469,1,29.2605247497559,1351,9,23,-697,94,351.534790039062,37.64945,-0.4185,0.5
1455.20361328125,2,23.2098236083984,1119,3,17,391,99,322.408172607422,37.7264,-0.4404,2.3
1466.56420898438,7,22.6983451843262,1168,4,10,96,104,325.381225585938,37.688,-0.4507,0.7
1460.91845703125,3,22.5985794067383,1040,13,13,2363,90,324.321228027344,37.749,-0.4514,1.2
1834.91296386719,0,38.7509231567383,1687,10,74,2173,97,398.824645996094,37.5362,-0.3507,3.05342465753425
1460.14501953125,1,22.9430618286133,1151,2,20,160,105,324.081024169922,37.6983,-0.4514,0.5
1460.14501953125,1,22.9430618286133,1151,2,20,160,105,324.081024169922,37.6983,-0.4549,4.4
1133.56970214844,8,12.6620578765869,660,17,3,4085,85,259.83740234375,37.9592,-0.3296,1.2
1394.32153320312,4,21.901180267334,988,3,14,3273,100,306.571655273438,37.7663,-0.3086,3.5
1026.32971191406,16,12.3293752670288,739,4,2,6070,110,250.326766967773,37.8541,-0.3956,11.8
997.570434570312,17,17.4638519287109,1071,3,5,3420,116,232.862411499023,37.5407,-0.73,15
1426.51452636719,7,20.271125793457,1151,4,5,2706,98,319.555725097656,37.6923,-0.7058,3
1054.53210449219,9,23.9873199462891,1159,3,7,1071,107,237.276519775391,37.55,-0.61,2.1
1185.09533691406,13,17.9812870025635,1071,4,7,3412,112,264.696441650391,37.5803,-0.77782,8.7
