"annual_ppt","bareground","driest_ppt","land_elevation","treecover","valley_depth","veg_index","wetness_index","wettest_ppt","X","Y","ExK"
1188.50805664062,1,18.0496578216553,889,19,3278,2052,101,264.279876708984,37.79482,-0.1688,0.08
1556.51049804688,1,27.2667961120605,1453,18,459,1607,88,334.699279785156,37.67,-0.08,0.32
1879.29077148438,0,37.5767707824707,2091,42,-1412,2090,78,398.589294433594,37.57632,-0.11767,0.23
1782.25183105469,0,34.7473907470703,1762,41,150,2106,90,382.764801025391,37.60053,-0.22186,0.11
1049.60864257812,5,13.3294401168823,733,11,3715,1069,110,247.773498535156,37.88503,-0.11952,0.456027397260274
1225.12280273438,7,16.55029296875,899,12,2430,1176,120,275.767364501953,37.85934,-0.06698,0.456027397260274
821.913330078125,8,9.16051292419434,516,1,4540,1245,99,189.685775756836,37.9737,-0.322,0.456027397260274
1260.26123046875,7,17.9311504364014,825,4,4542,1215,104,284.848999023438,37.7953,-0.4671,0.456027397260274
1105.02575683594,10,14.1969013214111,712,5,5451,1082,108,244.667892456055,37.87,-0.47,0.08
1007.93853759766,5,12.3567361831665,723,15,6181,1099,118,237.188980102539,37.8614,-0.3419,0.456027397260274
736.811096191406,9,8.53749370574951,589,1,5802,1233,102,165.131546020508,37.90994,-0.46947,0.2
600.757873535156,10,6.33929443359375,687,1,4343,963,88,135.706176757812,37.9333,-0.4821,0.456027397260274
1366.44311523438,9,36.9454193115234,1190,8,2611,1348,115,302.565002441406,37.2888,-0.661,0.14
1024.787109375,20,17.2033443450928,1066,1,2279,1631,116,224.19352722168,37.5118,-0.7398,0.4
1043.38586425781,2,23.6968212127686,1147,15,1099,1260,110,233.864822387695,37.5475,-0.6176,0.2
942.202697753906,5,16.8789768218994,1150,8,1213,1277,99,204.477584838867,37.6403,-0.5565,0.1
1173.87133789062,9,18.7793960571289,1177,3,1073,1934,102,280.649261474609,37.6176,-0.5814,0.2
1341.9169921875,3,17.9158039093018,1028,13,4108,1145,97,302.876861572266,37.7262,-0.7159,0.9
1268.34875488281,1,19.1575565338135,1114,17,3012,1128,93,295.127227783203,37.699,-0.6357,0.456027397260274
1364.30432128906,20,20.3222484588623,1159,0,1622,1220,96,301.163879394531,37.6448,-0.6923,0.1
