"X","Y","k","annual_precip","clay","h20cap_pf2_0","h20cap_pf2_3","h20cap_pf2_5","land_cover","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","tree_cover","valley_depth","wet_index"
34.6172366192446,1.06520171863357,438,1931.14611816406,25,19,19,19,180,3434,49,63,41,34,17.5684585571289,9,-76,24,-1034,77
34.6255699525646,1.06520171863357,426,1945.65258789062,25,19,19,19,180,3382,39,64,40,34,17.5804538726807,6,-23,30,-1630,78
34.5047366194246,1.06311838530357,534,1461.93566894531,22,21,21,21,30,3551,56,63,43,35,17.4944972991943,20,-259,29,4128,82
34.6068199525946,1.06311838530357,448,1914.88854980469,24,20,20,20,30,3489,58,63,42,35,17.5564060211182,11,-31,19,-489,75
34.6443199525346,1.06311838530357,394,1972.39343261719,26,18,18,18,180,3156,19,63,39,35,17.6160430908203,10,-270,47,-2746,83
34.5297366193846,1.06103505197357,523,1547.46618652344,25,19,19,19,30,3648,56,60,42,33,17.4966640472412,10,52,8,3266,78
34.6130699525846,1.06103505197357,461,1931.14611816406,25,19,19,19,180,3434,49,63,41,34,17.5684585571289,9,-76,24,-1034,77
34.5193199527346,1.05895171864357,507,1563.05151367188,24,20,20,20,30,3528,58,62,42,34,17.5007190704346,15,170,13,3043,81
34.6401532858746,1.05895171864357,428,1969.16662597656,27,18,18,18,30,3319,34,64,38,35,17.6036605834961,16,265,39,-2656,92
34.5734866193146,1.05686838531357,561,1813.1552734375,25,20,20,20,90,3563,59,63,41,34,17.5295085906982,21,130,16,3205,75
34.5964032859446,1.05686838531357,528,1905.24755859375,23,19,19,19,30,3440,39,63,43,34,17.5503807067871,10,-142,19,831,75
34.6068199525946,1.05478505198357,491,1926.75854492188,25,19,19,19,30,3440,36,63,41,34,17.5604686737061,9,-9,18,-236,76
34.6214032859046,1.05478505198357,426,1952.97814941406,25,18,18,18,180,3332,33,64,41,34,17.5815906524658,4,-82,21,-1330,79
34.6359866192146,1.05270171865356,433,1969.16662597656,27,18,18,18,30,3319,34,64,38,35,17.6036605834961,16,265,39,-2656,92
34.6339032858846,1.05061838532356,425,1967.29711914062,26,18,18,18,11,3266,27,61,40,35,17.5912933349609,8,-83,21,-1498,83
34.5068199527546,1.04853505199356,473,1542.2734375,20,20,20,20,30,3530,61,62,45,35,17.4916172027588,22,422,22,3131,78
34.5755699526446,1.04853505199356,520,1845.04528808594,25,19,19,19,30,3525,50,64,42,33,17.532169342041,15,269,17,3545,76
34.6568199525146,1.04853505199356,361,2006.69995117188,29,17,17,17,90,3203,31,61,38,33,17.6173419952393,5,319,20,-3103,86
34.5943199526146,1.04645171866356,472,1906.06396484375,26,18,18,18,30,3449,23,63,41,33,17.5555000305176,3,175,19,766,82
34.5984866192746,1.04645171866356,536,1906.06396484375,26,18,18,18,30,3449,23,63,41,33,17.5555000305176,3,175,19,766,82
34.5005699527646,1.04436838533356,481,1540.15698242188,19,20,20,20,30,3246,32,58,45,35,17.486665725708,23,-799,46,4608,79
34.6047366192646,1.04436838533356,488,1930.95104980469,25,18,18,18,180,3382,29,63,41,34,17.5636043548584,6,-35,17,147,79
34.6464032858646,1.04436838533356,399,1991.39196777344,28,18,18,18,180,3255,30,62,39,34,17.609037399292,6,253,21,-2925,91
34.6526532858546,1.04436838533356,397,2006.69995117188,29,17,17,17,90,3203,31,61,38,33,17.6173419952393,5,319,20,-3103,86
34.5130699527446,1.04228505200356,532,1569.47814941406,23,20,20,20,30,3284,39,60,44,34,17.4965724945068,27,-381,33,4805,77
34.5922366192846,1.04228505200356,519,1870.2607421875,25,18,18,18,30,3332,34,64,42,33,17.5517864227295,15,-240,27,2236,83
