"X","Y","mg","annual_precip","clay","h20cap_pf2_0","h20cap_pf2_3","h20cap_pf2_5","land_cover","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","tree_cover","valley_depth","wet_index"
34.5839032859646,1.12561838520357,334,1482.25061035156,0,0,0,0,30,3857,143,58,0,0,17.4963092803955,21,-308,32,-1584,74
34.5859866192946,1.12353505187357,323,1595.80456542969,18,22,22,22,30,3974,150,58,48,34,17.4384651184082,15,117,45,-2958,71
34.5984866192746,1.11936838521357,308,1723.92431640625,19,22,22,22,120,4031,126,60,48,33,17.3873805999756,13,323,52,-4324,72
34.5964032859446,1.11728505188357,302,1766.00549316406,19,22,22,22,30,4040,142,58,48,33,17.3471984863281,20,372,47,-4938,70
34.5859866192946,1.11520171855357,341,1672.49523925781,18,22,22,22,30,4053,138,57,48,34,17.3639030456543,8,276,36,-3757,68
34.5922366192846,1.11520171855357,352,1672.49523925781,18,22,22,22,30,4053,138,57,48,34,17.3639030456543,8,276,36,-3757,68
34.6026532859346,1.10895171856357,312,1827.03039550781,18,22,22,22,30,3878,118,58,49,33,17.4067687988281,11,-104,21,-3924,70
34.5359866193746,1.10478505190357,421,1711.05322265625,18,22,22,22,10,4175,63,60,48,34,17.2615146636963,14,415,24,-1251,72
34.6005699526046,1.10478505190357,345,1801.77294921875,18,22,22,22,30,4015,126,56,49,34,17.3401031494141,21,282,47,-4332,67
34.5797366193046,1.10270171857357,376,1694.96801757812,18,22,22,22,30,4166,115,60,49,33,17.3265647888184,14,615,15,-3767,83
34.6068199525946,1.10270171857357,389,1827.03039550781,18,22,22,22,30,3878,118,58,49,33,17.4067687988281,11,-104,21,-3924,70
34.5318199527146,1.10061838524357,473,1588.50354003906,20,21,21,21,30,4052,90,60,47,33,17.2910499572754,28,17,20,2086,74
34.5630699526646,1.10061838524357,400,1742.11865234375,18,22,22,22,30,4129,59,59,49,34,17.2752590179443,19,421,20,-1887,69
34.5839032859646,1.10061838524357,430,1777.20642089844,17,22,22,22,30,4090,64,60,49,34,17.2961101531982,19,345,21,-2361,66
34.6109866192546,1.10061838524357,341,1862.29565429688,19,21,21,21,180,3743,79,62,48,33,17.5114059448242,11,15,21,-3691,72
34.5359866193746,1.09853505191357,490,1647.03857421875,19,21,21,21,30,4046,65,59,48,33,17.267635345459,18,68,17,60,75
34.5547366193446,1.09853505191357,449,1727.96252441406,18,22,22,22,30,4136,55,59,49,34,17.2668800354004,19,285,10,-888,70
34.6089032859246,1.09853505191357,418,1841.92468261719,19,21,21,21,180,3899,72,63,48,33,17.4312953948975,20,285,15,-3838,70
34.5234866193946,1.09645171858357,479,1527.48132324219,20,21,21,21,180,3904,64,61,47,33,17.2812576293945,14,-311,14,2278,74
34.5422366193646,1.09645171858357,507,1647.03857421875,19,21,21,21,30,4046,65,59,48,33,17.267635345459,18,68,17,60,75
34.5651532859946,1.09645171858357,401,1742.11865234375,18,22,22,22,30,4129,59,59,49,34,17.2752590179443,19,421,20,-1887,69
34.5672366193246,1.09645171858357,421,1742.11865234375,18,22,22,22,30,4129,59,59,49,34,17.2752590179443,19,421,20,-1887,69
34.6276532858946,1.09436838525357,478,1903.0771484375,22,20,20,20,120,3536,76,62,46,32,17.5804214477539,24,148,37,-3477,73
34.6172366192446,1.09228505192357,482,1879.00378417969,19,21,21,21,180,3752,72,63,48,33,17.5336856842041,21,391,15,-3472,71
34.5797366193046,1.09020171859357,416,1807.57116699219,19,21,21,21,180,4043,58,61,48,33,17.3042984008789,27,311,14,-1144,69
34.5880699526246,1.09020171859357,445,1823.7626953125,18,22,22,22,120,3874,66,60,49,33,17.3548336029053,27,-243,18,-1429,71
34.5922366192846,1.09020171859357,484,1823.7626953125,18,22,22,22,120,3874,66,60,49,33,17.3548336029053,27,-243,18,-1429,71
34.6276532858946,1.09020171859357,409,1917.8447265625,22,20,20,20,30,3406,63,59,47,32,17.5843257904053,23,-88,25,-3071,74
34.6401532858746,1.09020171859357,362,1929.56970214844,24,19,19,19,30,3247,41,61,44,33,17.601261138916,11,-512,29,-2662,79
34.5234866193946,1.08811838526357,496,1459.88598632812,23,20,20,20,30,3921,61,59,45,32,17.3468589782715,16,86,8,2799,78
34.5255699527246,1.08811838526357,508,1459.88598632812,23,20,20,20,30,3921,61,59,45,32,17.3468589782715,16,86,8,2799,78
34.5880699526246,1.08811838526357,436,1823.7626953125,18,22,22,22,120,3874,66,60,49,33,17.3548336029053,27,-243,18,-1429,71
34.6005699526046,1.08811838526357,448,1839.5947265625,19,22,22,22,30,3833,81,62,48,33,17.4213733673096,14,-48,21,-1981,73
34.6047366192646,1.08811838526357,454,1858.16357421875,20,22,22,22,30,3786,65,63,47,33,17.467565536499,12,128,32,-3212,73
34.6109866192546,1.08811838526357,392,1879.00378417969,19,21,21,21,180,3752,72,63,48,33,17.5336856842041,21,391,15,-3472,71
34.6151532859146,1.08811838526357,406,1879.00378417969,19,21,21,21,180,3752,72,63,48,33,17.5336856842041,21,391,15,-3472,71
34.5839032859646,1.08603505193357,483,1807.57116699219,19,21,21,21,180,4043,58,61,48,33,17.3042984008789,27,311,14,-1144,69
34.5964032859446,1.08603505193357,459,1839.5947265625,19,22,22,22,30,3833,81,62,48,33,17.4213733673096,14,-48,21,-1981,73
34.6484866191946,1.08603505193357,361,1944.63024902344,24,19,19,19,30,3207,26,63,43,33,17.6102294921875,13,-343,21,-3277,80
