"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","temp_annual_range","terrain_slope","tree_cover","wet_index","X","Y","k"
1887.4765625,26,18,3294,23,61,34,17.5614204406738,10,34,85,34.5964032859446,1.02561838536356,457
1938.50988769531,26,18,3121,22,60,32,17.581470489502,17,84,81,34.6214032859046,1.02561838536356,362
1938.50988769531,26,18,3121,22,60,32,17.581470489502,17,84,81,34.6255699525646,1.02561838536356,377
2068.79321289062,28,18,2812,44,55,32,17.5836658477783,18,87,86,34.6755699524846,1.02561838536356,357
1507.96118164062,21,20,3213,25,60,37,17.5072689056396,11,17,88,34.5318199527146,1.02353505203356,533
1649.17614746094,23,19,3368,28,64,36,17.5155181884766,8,15,92,34.5464032860246,1.02353505203356,485
1491.89868164062,23,20,3073,26,56,35,17.4938335418701,17,88,79,34.5151532860746,1.02145171870356,484
1513.88610839844,22,20,3293,37,59,36,17.4992351531982,7,18,79,34.5214032860646,1.02145171870356,417
1784.03308105469,23,20,3328,27,64,35,17.5200214385986,4,16,85,34.5526532860146,1.02145171870356,501
1977.51147460938,26,18,3187,27,59,32,17.5880794525146,14,48,78,34.6318199525546,1.02145171870356,370
1938.50988769531,26,18,3121,22,60,32,17.581470489502,17,84,81,34.6214032859046,1.01936838537356,356
1531.48583984375,22,21,3279,35,60,36,17.5033073425293,21,24,93,34.5318199527146,1.01728505204356,425
1714.10546875,22,19,3339,36,62,36,17.5122299194336,7,17,83,34.5464032860246,1.01728505204356,456
1826.3154296875,23,19,3244,25,61,35,17.5189342498779,19,46,80,34.5526532860146,1.01728505204356,474
1826.3154296875,23,19,3244,25,61,35,17.5189342498779,19,46,80,34.5589032860046,1.01728505204356,492
1932.44641113281,26,18,3075,22,59,34,17.5764503479004,8,56,88,34.6234866192346,1.01728505204356,359
1932.44641113281,26,18,3075,22,59,34,17.5764503479004,8,56,88,34.6255699525646,1.01728505204356,347
1916.37902832031,26,18,3116,29,58,35,17.5752201080322,4,15,90,34.6151532859146,1.01520171871356,321
2046.35180664062,27,19,3062,30,58,32,17.5969219207764,4,13,83,34.6526532858546,1.01520171871356,369
1922.29541015625,25,18,3162,27,60,34,17.5531406402588,14,31,83,34.5901532859546,1.01311838538356,418
1898.8779296875,26,17,3096,20,61,34,17.5599403381348,18,97,84,34.5943199526146,1.01311838538356,354
2022.71423339844,26,19,2977,35,57,33,17.593448638916,27,97,81,34.6464032858646,1.01311838538356,329
1467.76989746094,23,20,3007,31,55,36,17.4780158996582,17,93,79,34.5172366194046,1.01103505205356,468
1954.23193359375,24,19,3248,34,61,36,17.5408000946045,16,41,78,34.5797366193046,1.01103505205356,459
2022.71423339844,26,19,2977,35,57,33,17.593448638916,27,97,81,34.6505699525246,1.01103505205356,317
