X,Y,k,layer,path
34.6297366192246,1.07978505194357,358.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5568199526746,1.07770171861357,510.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5797366193046,1.07770171861357,422.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6339032858846,1.07770171861357,357.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6401532858746,1.07561838528357,356.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5839032859646,1.06936838529357,478.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5922366192846,1.06936838529357,447.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6214032859046,1.06936838529357,431.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6234866192346,1.06936838529357,434.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5339032860446,1.06728505196357,621.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5818199526346,1.06728505196357,525.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6505699525246,1.06728505196357,366.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5984866192746,1.06520171863357,460.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6130699525846,1.06520171863357,453.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6151532859146,1.06520171863357,449.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6172366192446,1.06520171863357,438.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6255699525646,1.06520171863357,426.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5047366194246,1.06311838530357,534.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6068199525946,1.06311838530357,448.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6443199525346,1.06311838530357,394.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5297366193846,1.06103505197357,523.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6130699525846,1.06103505197357,461.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5193199527346,1.05895171864357,507.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6401532858746,1.05895171864357,428.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5734866193146,1.05686838531357,561.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5964032859446,1.05686838531357,528.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6068199525946,1.05478505198357,491.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6214032859046,1.05478505198357,426.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6359866192146,1.05270171865356,433.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6339032858846,1.05061838532356,425.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5068199527546,1.04853505199356,473.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5755699526446,1.04853505199356,520.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6568199525146,1.04853505199356,361.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5943199526146,1.04645171866356,472.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5984866192746,1.04645171866356,536.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5005699527646,1.04436838533356,481.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6047366192646,1.04436838533356,488.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6464032858646,1.04436838533356,399.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6526532858546,1.04436838533356,397.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5130699527446,1.04228505200356,532.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5922366192846,1.04228505200356,519.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5984866192746,1.04228505200356,483.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
