"X","Y","ProfileID","ExMg","ExK","annual_ppt","bareground","driest_ppt","land_elevation","temp_annual_range","temp_seasonality","terrain_slope","topo_pst_index","treecover","valley_depth","veg_index","wetness_index","wettest_ppt"
37.536111,-0.355556,"KE wasp_42",1.3,0.8,1834.91296386719,0,38.7509231567383,1687,16.4011039733887,85.6267852783203,10,-283,74,2173,1438,97,398.824645996094
37.576389,-0.380556,"KE wasp_43",0.3,0.1,1715.15759277344,1,34.8766059875488,1583,16.308723449707,84.4563064575195,3,8,24,1259,1907,95,375.871917724609
37.627778,-0.411111,"KE wasp_44",2.2,1.5,1622.92700195312,0,30.5923843383789,1406,16.1842098236084,83.5384216308594,4,107,23,-565,1909,100,357.054504394531
37.625,-0.413889,"KE wasp_45",3.3,0.1,1627.44079589844,0,31.148889541626,1416,16.2010478973389,83.6187896728516,4,-14,27,-397,1939,97,358.772186279297
37.623611,-0.416667,"KE wasp_46",2.9,0.1,1614.18481445312,0,31.0114364624023,1373,16.205322265625,83.7076263427734,5,-64,40,-143,1751,99,357.207397460938
37.7,-0.451389,"KE wasp_47",2.1,0.1,1460.14501953125,1,22.9430618286133,1151,15.9349813461304,79.6252517700195,2,-12,20,160,1908,105,324.081024169922
37.698611,-0.451389,"KE wasp_48",0.8,0.7,1460.14501953125,1,22.9430618286133,1151,15.9349813461304,79.6252517700195,2,-12,20,160,1908,105,324.081024169922
37.698611,-0.452778,"KE wasp_49",4.1,0.7,1460.14501953125,1,22.9430618286133,1151,15.9349813461304,79.6252517700195,2,-12,20,160,1908,105,324.081024169922
37.451667,-0.552222,"KE wasp_5",1.1,0.4,1515.16455078125,5,37.2063217163086,1336,16.644401550293,87.8820877075195,4,77,15,2807,1732,104,349.225280761719
37.772222,-0.452778,"KE wasp_50",6.4,0.2,1393.65588378906,2,20.6671085357666,932,15.7671918869019,79.1850051879883,5,57,20,3438,1171,92,308.714263916016
37.790278,-0.461111,"KE wasp_51",4.3,0.1,1296.73559570312,11,18.7419815063477,868,15.8055305480957,81.0577392578125,3,113,3,4255,1113,110,290.722991943359
37.805556,-0.444444,"KE wasp_52",12.5,0.4,1229.416015625,6,17.0392055511475,818,15.7775964736938,81.3843612670898,2,-33,8,4933,1084,108,275.209228515625
37.972222,-0.152222,"KE wasp_53",3.4,0.1,923.479064941406,7,11.2882480621338,585,15.2631521224976,79.4344482421875,2,-56,6,3395,1075,115,216.090087890625
38.244444,-0.227778,"KE wasp_55",3,0.4,619.359497070312,24,3.37298727035522,579,14.775408744812,80.7205200195312,2,71,0,-79,1461,108,152.059982299805
37.466667,-0.533333,"KE wasp_6",0.4,0.4,1499.13500976562,7,36.9178886413574,1346,16.6003322601318,87.3717956542969,7,19,11,2703,1144,101,352.365112304688
37.916667,-0.666667,"KE wasp_7",2,0.3,630.992858886719,25,6.68649196624756,706,15.7622909545898,84.3458938598633,4,-89,0,7297,921,102,143.323867797852
37.786111,-0.316667,"KE wasp_70",3.05342465753425,0.456027397260274,1302.00939941406,5,19.7231292724609,862,15.6442403793335,78.7006607055664,2,-100,13,4615,1484,102,291.394805908203
37.68,0.0344,"KE SOTER_108/3-2",1.13,0.06,1461.75891113281,1,24.5272407531738,1422,15.8704872131348,76.4416656494141,4,53,26,322,1177,95,312.582397460938
37.71,-0.02,"KE SOTER_122/1-28",3.65,0.15,1418.82189941406,2,22.7682151794434,1307,15.7943544387817,77.1942749023438,8,88,19,699,1555,99,305.170471191406
37.67,-0.09,"KE SOTER_122/1-34",1.05,0.67,1552.86560058594,0,27.3470973968506,1411,15.7734842300415,77.7457504272461,5,-40,38,-125,1759,89,335.47021484375
37.74,-0.09,"KE SOTER_122/1-35",1.55,0.21,1439.43395996094,2,23.1486721038818,1205,15.679102897644,76.6276245117188,13,1,16,228,1506,96,312.593811035156
37.72,-0.11,"KE SOTER_122/1-37",1.4,0.63,1416.72937011719,5,23.4622497558594,1144,15.6937351226807,76.0583801269531,18,-243,10,323,1680,94,311.33984375
37.69,-0.15,"KE SOTER_122/1-39",2.15,1.15,1350.38208007812,2,21.265682220459,1177,15.7224378585815,77.5660247802734,3,-178,17,851,1536,102,303.713684082031
37.63,-0.08,"KE SOTER_122/1-42",2.35,2,1671.37573242188,0,30.8418140411377,1719,15.9636497497559,79.6638412475586,12,262,37,-273,2202,91,356.907684326172
37.58,-0.08,"KE SOTER_122/1-46",0.26,0.77,1828.51745605469,0,35.9487762451172,2034,16.2136096954346,83.4728469848633,9,28,43,-536,1424,77,387.251556396484
37.61,-0.13,"KE SOTER_122/1-48",0.26,1.91,1705.95166015625,0,31.9997024536133,1843,16.0869998931885,81.0648422241211,19,-13,24,-1075,1636,86,364.308349609375
37.62,-0.15,"KE SOTER_122/1-49",0.66,0.63,1749.58654785156,0,32.734619140625,1807,16.0871276855469,81.5964889526367,7,278,58,-1769,1471,81,373.146148681641
37.67,-0.17,"KE SOTER_122/1-53",0.66,0.03,1481.20007324219,0,24.6219577789307,1329,15.8373107910156,78.872200012207,21,164,17,335,1622,91,319.927429199219
37.53,-0.22,"KE SOTER_122/1-54",0.22,0.53,1983.80871582031,0,42.1677284240723,2177,16.4741477966309,88.9366302490234,11,44,73,225,2047,89,423.019775390625
37.59,-0.03,"KE SOTER_122/1-58",1.42,1.41,1755.11254882812,0,33.8774299621582,1946,16.1125087738037,81.2941665649414,5,2,35,-929,1393,82,371.022125244141
37.57,-0.11,"KE SOTER_122/1-60",3.05342465753425,0.456027397260274,1864.05285644531,0,37.1899299621582,2044,16.2777061462402,84.9207077026367,8,-234,40,-771,2475,78,395.764282226562
37.87,-0.217,"KE SOTER_122/2-10",18.6,0.01,1152.67687988281,8,15.1536617279053,807,15.4394035339355,79.2351303100586,2,8,9,4016,1216,113,267.224456787109
37.78,-0.08,"KE SOTER_122/2-131",1.88,0.06,1292.73034667969,1,19.0225238800049,983,15.6351680755615,74.5478744506836,12,-136,19,2912,1374,97,286.783081054688
37.91,-0.056,"KE SOTER_122/2-15",2.7,0.27,1114.72229003906,4,13.8469247817993,805,15.4501838684082,78.5033493041992,9,96,10,2979,1367,101,256.422607421875
37.78,-0.12,"KE SOTER_122/2-2",2.8,0.9,1312.47229003906,0,20.0010070800781,1004,15.5984315872192,74.9296188354492,2,4,31,2448,1711,100,287.983093261719
