ProfileID,LayerNr,ExCa,ExMg,ExNa,ExK,Country,loc_longitude,loc_latitude
KE SOTER_118/4-7,3.000000,20.600000,6.600000,0.300000,7.300000,KE,35.920000,-0.350000
KE SOTER_119/3-71,3.000000,10.900000,2.300000,0.200000,1.400000,KE,36.100000,-0.220000
KE SOTER_119/4-4,3.000000,6.000000,0.200000,0.900000,0.300000,KE,36.380000,-0.270000
KE SOTER_122/1-3,3.000000,6.200000,9.200000,0.560000,0.080000,KE,37.794820,-0.168800
KE SOTER_122/1-30,3.000000,2.300000,1.600000,0.140000,0.320000,KE,37.670000,-0.080000
KE SOTER_122/1-47,3.000000,0.600000,0.260000,0.120000,0.230000,KE,37.576320,-0.117670
KE SOTER_122/1-55,3.000000,1.000000,0.800000,0.270000,0.110000,KE,37.600530,-0.221860
KE SOTER_122/2-12,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.885030,-0.119520
KE SOTER_122/2-14,3.000000,3.500000,0.900000,0.000000,0.000000,KE,37.859340,-0.066980
KE SOTER_122/4-112,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.973700,-0.322000
KE SOTER_122/4-2,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.795300,-0.467100
KE SOTER_122/4-5,3.000000,21.600000,2.300000,0.140000,0.080000,KE,37.870000,-0.470000
KE SOTER_122/4-7,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.861400,-0.341900
KE SOTER_122/4-82,3.000000,9.800000,4.900000,0.400000,0.200000,KE,37.909940,-0.469470
KE SOTER_122/4-98,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.933300,-0.482100
KE SOTER_130/1-39,3.000000,10.400000,1.600000,1.100000,0.600000,KE,34.548600,-0.698600
KE SOTER_130/1-EX14,3.000000,31.500000,16.300000,-9999.000000,1.100000,KE,34.515800,-0.656390
KE SOTER_130/1-EX17,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,34.500000,-0.500000
KE SOTER_130/1-EX21,3.000000,0.300000,1.400000,0.100000,0.100000,KE,34.600000,-0.600000
KE SOTER_130/1-WAN,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,34.755600,-0.682600
KE SOTER_130/1-WAN9,3.000000,1.800000,0.500000,0.000000,0.200000,KE,34.700000,-0.600000
KE SOTER_130/2,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,34.980000,-0.600000
KE SOTER_130/2-35,3.000000,1.100000,2.000000,0.000000,0.700000,KE,34.928900,-0.668900
KE SOTER_130/2-C8,3.000000,3.000000,3.300000,0.100000,0.200000,KE,34.800000,-0.600000
KE SOTER_130/2-DR1,3.000000,1.000000,0.200000,0.000000,0.200000,KE,34.900000,-0.700000
KE SOTER_130/2-NARS,3.000000,8.900000,4.000000,0.000000,1.000000,KE,34.780000,-0.690000
KE SOTER_130/3-11,3.000000,1.000000,0.300000,0.000000,0.100000,KE,34.600000,-0.800000
KE SOTER_130/3-201,3.000000,5.600000,2.000000,0.000000,0.400000,KE,34.700000,-0.500000
KE SOTER_130/3-217,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,34.600000,-0.800000
KE SOTER_130/3-24,3.000000,6.200000,2.800000,-9999.000000,0.800000,KE,34.600000,-0.800000
KE SOTER_130/3-55,3.000000,3.900000,2.600000,0.200000,0.000000,KE,34.719500,-0.794500
KE SOTER_130/3-65,3.000000,8.000000,2.100000,-9999.000000,0.300000,KE,34.650000,-0.800000
KE SOTER_130/3-RAN2,3.000000,5.700000,2.800000,-9999.000000,0.300000,KE,34.570000,-0.870000
KE SOTER_130/4-8,3.000000,4.800000,1.900000,-9999.000000,0.600000,KE,34.991000,-0.783100
KE SOTER_130/4-C1,3.000000,0.000000,0.100000,0.000000,0.100000,KE,34.970600,-0.819600
KE SOTER_130/4-C3,3.000000,4.500000,3.300000,0.200000,0.300000,KE,34.953000,-0.986400
KE SOTER_130/4-EX10,3.000000,6.800000,2.200000,-9999.000000,1.100000,KE,34.600000,-0.970000
KE SOTER_130/4-EX9,3.000000,24.000000,1.800000,-9999.000000,1.700000,KE,34.970000,-0.970000
KE SOTER_134/1-58,3.000000,23.400000,6.300000,3.200000,1.400000,KE,36.600000,-0.750000
KE SOTER_134/3-48,3.000000,9.300000,4.400000,0.900000,1.000000,KE,36.628780,-0.759330
KE SOTER_134/3-76,3.000000,11.800000,3.000000,1.200000,2.000000,KE,36.600000,-0.780000
KE SOTER_134/4-204,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,36.770000,-0.770000
KE SOTER_134/4-208,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,36.700000,-0.770000
KE SOTER_135/1-259,3.000000,4.800000,1.800000,0.000000,0.400000,KE,37.198800,-0.605000
KE SOTER_135/1-54,3.000000,0.900000,0.300000,0.500000,0.010000,KE,37.160000,-0.700000
KE SOTER_135/2-2,3.000000,20.900000,8.000000,3.020000,0.140000,KE,37.288800,-0.661000
KE SOTER_136/1-18,3.000000,2.400000,3.400000,0.200000,0.400000,KE,37.511800,-0.739800
KE SOTER_136/1-2,3.000000,1.400000,1.000000,0.100000,0.200000,KE,37.547500,-0.617600
KE SOTER_136/1-4,3.000000,2.200000,0.600000,0.100000,0.100000,KE,37.640300,-0.556500
KE SOTER_136/1-5,3.000000,0.900000,1.000000,0.000000,0.200000,KE,37.617600,-0.581400
KE SOTER_136/1-53,3.000000,6.800000,4.000000,0.300000,0.900000,KE,37.726200,-0.715900
KE SOTER_136/1-59,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.699000,-0.635700
KE SOTER_136/1-60,3.000000,1.500000,0.600000,0.100000,0.100000,KE,37.644800,-0.692300
KE SOTER_136/2-29,3.000000,4.600000,0.900000,0.500000,0.700000,KE,37.979600,-0.638000
KE SOTER_136/2-58,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.773700,-0.609700
KE SOTER_136/3-126,3.000000,4.000000,2.000000,0.200000,0.600000,KE,37.599500,-0.961500
KE SOTER_136/3-16,3.000000,33.200000,15.600000,7.300000,0.200000,KE,37.515800,-0.762400
KE SOTER_136/4-74,3.000000,4.300000,1.000000,0.300000,0.700000,KE,37.891400,-0.995500
KE SOTER_136/4-76,3.000000,3.400000,1.500000,0.300000,0.700000,KE,37.959300,-0.997700
KE SOTER_149/1-41,3.000000,32.700000,10.500000,3.200000,0.700000,KE,37.000000,-1.080000
