X,Y,mg,layer,path
34.6526532858546,1.07561838528357,284.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.5151532860746,1.07353505195357,460.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6422366192046,1.07353505195357,320.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.5172366194046,1.07145171862357,470.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6130699525846,1.07145171862357,458.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6172366192446,1.07145171862357,502.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6359866192146,1.07145171862357,435.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6047366192646,1.06728505196357,499.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.5318199527146,1.06103505197357,534.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6505699525246,1.05895171864357,311.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.5276532860546,1.05686838531357,503.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6422366192046,1.05686838531357,380.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.5151532860746,1.05478505198357,437.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.5234866193946,1.05270171865356,480.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.5901532859546,1.05270171865356,548.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6255699525646,1.05061838532356,438.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6172366192446,1.04853505199356,443.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6401532858746,1.04853505199356,445.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6276532858946,1.04645171866356,396.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
34.6484866191946,1.04645171866356,415.00000000,mg_test,D:/r/KenyaDSM/data/soil_shp/mg_test/mg_test.shp
