"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","terrain_slope","wet_index","X","Y","mg"
1944.63024902344,24,19,3207,26,63,33,13,80,34.6484866191946,1.08603505193357,361
1493.02905273438,24,20,3810,48,61,32,20,74,34.5297366193846,1.08395171860357,510
1941.18127441406,25,19,3281,38,63,34,12,78,34.6359866192146,1.08395171860357,364
1858.05004882812,21,21,3757,73,63,34,12,75,34.6005699526046,1.08186838527357,505
1897.45483398438,21,21,3610,85,62,34,15,73,34.6172366192446,1.07978505194357,491
1897.45483398438,21,21,3610,85,62,34,15,73,34.6109866192546,1.07770171861357,497
1915.89709472656,23,20,3489,60,62,35,12,77,34.6172366192446,1.07561838528357,433
1981.30212402344,27,18,3211,26,62,35,9,86,34.6526532858546,1.07561838528357,284
1439.06494140625,23,20,3686,49,60,34,12,79,34.5151532860746,1.07353505195357,460
1953.70971679688,25,18,3207,32,64,34,15,79,34.6422366192046,1.07353505195357,320
1439.06494140625,23,20,3686,49,60,34,12,79,34.5172366194046,1.07145171862357,470
1915.89709472656,23,20,3489,60,62,35,12,77,34.6130699525846,1.07145171862357,458
1915.89709472656,23,20,3489,60,62,35,12,77,34.6172366192446,1.07145171862357,502
1953.70971679688,25,18,3207,32,64,34,15,79,34.6359866192146,1.07145171862357,435
1914.88854980469,24,20,3489,58,63,35,11,75,34.6047366192646,1.06728505196357,499
1547.46618652344,25,19,3648,56,60,33,10,78,34.5318199527146,1.06103505197357,534
1979.38061523438,28,17,3207,29,61,33,17,84,34.6505699525246,1.05895171864357,311
1581.97900390625,24,19,3544,62,61,34,11,80,34.5276532860546,1.05686838531357,503
1969.16662597656,27,18,3319,34,64,35,16,92,34.6422366192046,1.05686838531357,380
1534.85241699219,23,20,3485,66,63,35,12,77,34.5151532860746,1.05478505198357,437
1563.05151367188,24,20,3528,58,62,34,15,81,34.5234866193946,1.05270171865356,480
1867.58764648438,26,20,3498,59,63,33,10,76,34.5901532859546,1.05270171865356,548
1957.85400390625,26,18,3345,34,62,34,10,81,34.6255699525646,1.05061838532356,438
1946.27282714844,26,18,3334,31,63,34,1,80,34.6172366192446,1.04853505199356,443
1978.09301757812,27,18,3267,33,62,35,13,96,34.6401532858746,1.04853505199356,445
1967.29711914062,26,18,3266,27,61,35,8,83,34.6276532858946,1.04645171866356,396
1991.39196777344,28,18,3255,30,62,34,6,91,34.6484866191946,1.04645171866356,415
1684.59350585938,25,19,3439,38,63,34,8,79,34.5526532860146,1.04436838533356,533
1946.27282714844,26,18,3334,31,63,34,1,80,34.6130699525846,1.04436838533356,476
1543.46362304688,21,20,3224,37,59,36,28,80,34.5005699527646,1.04228505200356,419
1594.21118164062,22,19,3402,40,62,36,16,82,34.5214032860646,1.04228505200356,381
1974.73278808594,27,18,3288,28,63,34,13,85,34.6297366192246,1.04228505200356,504
1569.47814941406,23,20,3284,39,60,34,27,77,34.5172366194046,1.04020171867356,359
1870.2607421875,25,18,3332,34,64,33,15,83,34.5922366192846,1.04020171867356,506
2020.18078613281,29,18,3158,32,60,32,13,83,34.6568199525146,1.04020171867356,287
1810.677734375,25,20,3431,32,62,34,9,83,34.5672366193246,1.03811838534356,492
1876.53820800781,24,20,3462,35,63,34,10,84,34.5693199526546,1.03811838534356,451
1876.53820800781,24,20,3462,35,63,34,10,84,34.5755699526446,1.03811838534356,522
1962.20617675781,25,18,3290,28,62,35,1,83,34.6234866192346,1.03603505201356,410
1962.20617675781,25,18,3290,28,62,35,1,83,34.6255699525646,1.03603505201356,414
2015.35949707031,29,18,3169,31,61,32,16,85,34.6484866191946,1.03395171868356,358
1538.23474121094,22,20,3186,29,58,34,25,78,34.5172366194046,1.03186838535356,346
1842.82836914062,25,19,3438,30,64,34,12,89,34.5672366193246,1.03186838535356,469
1900.53308105469,25,19,3379,33,64,34,13,84,34.5818199526346,1.03186838535356,500
1887.54431152344,24,18,3316,34,62,34,15,87,34.6005699526046,1.03186838535356,417
1958.04992675781,25,19,3273,30,61,35,8,80,34.6193199525746,1.03186838535356,371
2015.35949707031,29,18,3169,31,61,32,16,85,34.6484866191946,1.03186838535356,334
2032.02209472656,28,17,3025,35,57,31,11,85,34.6568199525146,1.03186838535356,268
1539.32336425781,22,20,3192,35,59,36,25,81,34.5005699527646,1.02978505202356,384
1530.82531738281,21,20,3293,37,59,35,24,77,34.5026532860946,1.02978505202356,380
1538.23474121094,22,20,3186,29,58,34,25,78,34.5109866194146,1.02978505202356,406
