"annual_precip","occ","ph20","tree_cover","X","Y","mg"
2012.18286132812,45,52,55,36.800546470816,-0.866052608914895,255
2020.31506347656,44,60,19,36.6276312837202,-0.868135962951369,383
2020.31506347656,44,60,19,36.6338812302417,-0.868135962951369,272
2093.08422851562,58,59,16,36.6463811232848,-0.868135962951369,239
2098.4248046875,57,58,42,36.6588810163279,-0.868135962951369,235
2107.869140625,39,50,64,36.7151305350217,-0.868135962951369,195
2067.50463867188,46,51,93,36.7734633692227,-0.868135962951369,190
1949.18823242188,52,54,45,36.8255462569021,-0.868135962951369,336
2101.17456054688,55,55,82,36.6651309628494,-0.870219316987844,183
2109.07739257812,61,54,53,36.683880802414,-0.870219316987844,170
2098.93969726562,56,55,71,36.6922140644427,-0.870219316987844,195
2107.869140625,39,50,64,36.7109639040073,-0.870219316987844,194
2101.2841796875,43,51,77,36.7442969521222,-0.870219316987844,209
2067.50463867188,46,51,93,36.7734633692227,-0.870219316987844,194
1931.79467773438,37,60,14,36.6005481821269,-0.872302671024318,441
2020.31506347656,44,60,19,36.6297145992274,-0.872302671024318,381
2101.17456054688,55,55,82,36.660964331835,-0.872302671024318,202
2097.36865234375,42,51,67,36.7047139574858,-0.872302671024318,182
2109.20581054688,40,51,97,36.7380470056006,-0.872302671024318,182
2101.2841796875,43,51,77,36.7463802676294,-0.872302671024318,192
2101.2841796875,43,51,77,36.7505468986437,-0.872302671024318,189
2052.34692382812,50,52,74,36.777630000237,-0.872302671024318,181
2052.34692382812,50,52,74,36.7838799467586,-0.872302671024318,189
1989.54821777344,41,55,13,36.8047131018304,-0.872302671024318,292
1965.92468261719,36,59,26,36.6047148131412,-0.874386025060792,439
1966.8154296875,42,60,17,36.6192980216915,-0.874386025060792,428
2091.60131835938,57,57,78,36.6442978077776,-0.874386025060792,249
2091.60131835938,57,57,78,36.6505477542992,-0.874386025060792,253
2107.8837890625,67,55,65,36.6797141713997,-0.874386025060792,183
2086.28271484375,38,52,84,36.7088805885002,-0.874386025060792,195
2110.57739257812,43,50,69,36.7338803745863,-0.874386025060792,170
2098.13305664062,51,51,79,36.7484635831365,-0.874386025060792,184
2098.13305664062,51,51,79,36.7505468986437,-0.874386025060792,178
2087.47241210938,51,52,80,36.7526302141509,-0.874386025060792,172
2087.47241210938,51,52,80,36.7567968451653,-0.874386025060792,174
1956.9365234375,42,52,19,36.8255462569021,-0.874386025060792,327
1944.86657714844,35,63,18,36.6005481821269,-0.876469379097266,498
1965.451171875,41,60,34,36.6130480751699,-0.876469379097266,461
2091.60131835938,57,57,78,36.6442978077776,-0.876469379097266,235
2102.08764648438,56,57,72,36.6526310698063,-0.876469379097266,221
2107.8837890625,67,55,65,36.6797141713997,-0.876469379097266,167
2106.08129882812,45,51,93,36.7401303211078,-0.876469379097266,179
2045.57373046875,57,53,60,36.7817966312514,-0.876469379097266,173
2028.23840332031,52,52,54,36.7880465777729,-0.876469379097266,215
1956.9365234375,42,52,19,36.8213796258878,-0.876469379097266,315
1926.11926269531,53,53,61,36.835962834438,-0.876469379097266,339
1965.451171875,41,60,34,36.6109647596628,-0.87855273313374,453
2111.61938476562,59,56,67,36.6734642248781,-0.87855273313374,160
2086.28271484375,38,52,84,36.7026306419786,-0.87855273313374,217
2097.51513671875,45,51,79,36.7130472195145,-0.87855273313374,199
2107.54467773438,40,50,85,36.719297166036,-0.87855273313374,205
2110.57739257812,43,50,69,36.7317970590791,-0.87855273313374,216
2106.08129882812,45,51,93,36.7380470056006,-0.87855273313374,168
2072.75415039062,54,54,50,36.765130107194,-0.87855273313374,171
1990.80981445312,41,51,40,36.8088797328447,-0.87855273313374,286
1939.70336914062,52,51,32,36.8317962034237,-0.87855273313374,301
1939.70336914062,52,51,32,36.8338795189309,-0.87855273313374,322
1944.86657714844,35,63,18,36.5942982356053,-0.880636087170215,470
1965.451171875,41,60,34,36.6109647596628,-0.880636087170215,452
1965.451171875,41,60,34,36.6172147061843,-0.880636087170215,455
1998.80029296875,44,60,75,36.6297145992274,-0.880636087170215,325
2106.23168945312,57,55,50,36.660964331835,-0.880636087170215,194
2107.8837890625,67,55,65,36.6776308558925,-0.880636087170215,170
2107.8837890625,67,55,65,36.683880802414,-0.880636087170215,175
2094.1826171875,54,56,67,36.6901307489355,-0.880636087170215,187
2086.28271484375,38,52,84,36.706797272993,-0.880636087170215,202
2107.54467773438,40,50,85,36.719297166036,-0.880636087170215,226
2107.54467773438,40,50,85,36.7213804815432,-0.880636087170215,211
2087.47241210938,51,52,80,36.7526302141509,-0.880636087170215,178
2058.81396484375,48,55,44,36.7713800537155,-0.880636087170215,189
2045.57373046875,57,53,60,36.7838799467586,-0.880636087170215,210
2008.41369628906,47,51,76,36.7942965242945,-0.880636087170215,234
1956.9365234375,42,52,19,36.8192963103806,-0.880636087170215,289
1978.71411132812,42,58,21,36.6276312837202,-0.882719441206689,339
2043.68725585938,49,58,29,36.6359645457489,-0.882719441206689,288
2101.89453125,60,55,91,36.660964331835,-0.882719441206689,190
2101.89453125,60,55,91,36.6651309628494,-0.882719441206689,174
2078.04833984375,48,53,83,36.6942973799499,-0.882719441206689,196
2078.71044921875,47,54,80,36.7088805885002,-0.882719441206689,197
2096.62133789062,42,51,91,36.7213804815432,-0.882719441206689,221
2100.92407226562,43,52,75,36.7317970590791,-0.882719441206689,197
2097.34423828125,43,52,95,36.7401303211078,-0.882719441206689,194
2087.27563476562,58,51,89,36.7484635831365,-0.882719441206689,181
2087.27563476562,58,51,89,36.7505468986437,-0.882719441206689,178
1989.57470703125,43,54,41,36.8088797328447,-0.882719441206689,311
1970.90478515625,39,54,22,36.8109630483519,-0.882719441206689,312
1916.02368164062,41,52,30,36.8380461499452,-0.882719441206689,322
1880.41943359375,43,56,28,36.8526293584955,-0.882719441206689,307
2101.89453125,60,55,91,36.660964331835,-0.884802795243163,199
1916.02368164062,41,52,30,36.8401294654524,-0.884802795243163,306
1899.82922363281,36,53,27,36.8484627274811,-0.884802795243163,293
1964.42846679688,38,60,19,36.6047148131412,-0.886886149279637,413
2101.89453125,60,55,91,36.6672142783566,-0.886886149279637,162
2098.29907226562,62,55,70,36.6734642248781,-0.886886149279637,175
2078.71044921875,47,54,80,36.7088805885002,-0.886886149279637,208
2096.62133789062,42,51,91,36.719297166036,-0.886886149279637,184
2097.34423828125,43,52,95,36.7401303211078,-0.886886149279637,198
2087.27563476562,58,51,89,36.7442969521222,-0.886886149279637,205
2087.27563476562,58,51,89,36.7484635831365,-0.886886149279637,185
2055.06225585938,52,53,82,36.7609634761796,-0.886886149279637,164
2043.45141601562,49,52,51,36.7755466847299,-0.886886149279637,211
2020.98205566406,46,52,48,36.7922132087873,-0.886886149279637,243
1989.57470703125,43,54,41,36.8088797328447,-0.886886149279637,330
1970.90478515625,39,54,22,36.8109630483519,-0.886886149279637,307
1952.71459960938,42,52,33,36.8192963103806,-0.886886149279637,316
1916.02368164062,41,52,30,36.8401294654524,-0.886886149279637,316
1899.82922363281,36,53,27,36.8505460429883,-0.886886149279637,285
1950.16101074219,36,61,15,36.5984648666197,-0.888969503316111,380
2043.68725585938,49,58,29,36.6380478612561,-0.888969503316111,302
2043.68725585938,49,58,29,36.6422144922704,-0.888969503316111,278
2098.29907226562,62,55,70,36.6734642248781,-0.888969503316111,180
2078.04833984375,48,53,83,36.6984640109643,-0.888969503316111,200
2096.62133789062,42,51,91,36.7255471125576,-0.888969503316111,198
2097.34423828125,43,52,95,36.7380470056006,-0.888969503316111,198
2005.29858398438,42,52,38,36.7942965242945,-0.888969503316111,285
1746.94262695312,43,59,11,36.5817983425623,-0.891052857352586,362
2040.11669921875,39,58,16,36.6422144922704,-0.891052857352586,300
2073.8203125,40,51,69,36.7026306419786,-0.891052857352586,191
2080.6103515625,42,51,73,36.7130472195145,-0.891052857352586,193
2088.20141601562,41,51,90,36.7317970590791,-0.891052857352586,195
2016.69653320312,46,54,47,36.777630000237,-0.891052857352586,202
2007.65380859375,39,55,47,36.7901298932801,-0.891052857352586,261
1932.88977050781,46,52,51,36.8297128879165,-0.891052857352586,328
1822.39245605469,41,57,42,36.8755458290744,-0.891052857352586,352
1746.94262695312,43,59,11,36.5838816580694,-0.89313621138906,347
1838.115234375,40,61,54,36.5922149200982,-0.89313621138906,385
