"annual_precip","land_elevation","occ","X","Y","mg"
1186.33642578125,1781,22,35.0714032851844,0.89853505223357,297
0,0,0,35.0776532851743,0.89853505223357,277
1208.43420410156,1777,21,35.0380699519044,0.89645171890357,293
1186.33642578125,1781,22,35.0714032851844,0.89645171890357,324
0,0,0,35.0234866185944,0.89436838557357,307
1208.43420410156,1777,21,35.0422366185644,0.89436838557357,281
1302.92529296875,1812,25,35.0672366185244,0.89228505224357,288
1327.8525390625,1800,22,35.0568199518744,0.89020171891357,281
1247.39184570312,1799,24,35.0714032851844,0.88603505225357,291
1195.44213867188,1778,23,35.0214032852644,0.88395171892357,304
1195.44213867188,1778,23,35.0255699519244,0.88395171892357,306
1346.15649414062,1811,25,35.0734866185144,0.88395171892357,288
1263.33056640625,1805,25,35.0776532851743,0.88395171892357,300
1213.02221679688,1815,21,35.0276532852544,0.88186838559357,269
1428.29724121094,1825,22,35.0526532852144,0.87978505226357,276
1197.80541992188,1782,22,35.0922366184843,0.87978505226357,305
1428.29724121094,1825,22,35.0526532852144,0.87770171893357,293
1346.15649414062,1811,25,35.0755699518444,0.87770171893357,275
1263.33056640625,1805,25,35.0818199518343,0.87770171893357,298
1263.33056640625,1805,25,35.0839032851643,0.87770171893357,299
0,0,0,35.1068199517943,0.87770171893357,275
0,0,0,35.1130699517843,0.87770171893357,323
1210.49633789062,1798,24,35.0318199519144,0.87353505227357,311
1269.31274414062,1812,21,35.0359866185744,0.87353505227357,264
1341.4326171875,1837,22,35.0776532851743,0.87353505227357,280
1157.8798828125,1788,23,35.1005699518043,0.87353505227357,328
1243.90954589844,1804,21,35.0859866184943,0.87145171894357,285
1210.49633789062,1798,24,35.0297366185844,0.86936838561357,325
1435.11938476562,1850,20,35.0630699518644,0.86936838561357,268
1243.90954589844,1804,21,35.0859866184943,0.86936838561357,288
1102.115234375,1798,19,35.1130699517843,0.86936838561357,282
1185.95751953125,1800,24,35.0193199519344,0.86728505228357,282
1218.48046875,1824,17,35.0380699519044,0.86728505228357,279
1377.94287109375,1849,23,35.0693199518544,0.86520171895357,289
1270.99597167969,1831,20,35.0859866184943,0.86520171895357,280
1189.81750488281,1823,21,35.0318199519144,0.86311838562357,277
1265.47692871094,1832,21,35.0443199518944,0.86311838562357,263
1317.23254394531,1847,20,35.0547366185444,0.86311838562357,301
1167.08056640625,1799,21,35.1005699518043,0.86311838562357,272
1122.68127441406,1812,19,35.1109866184543,0.86311838562357,280
1362.70202636719,1844,21,35.0776532851743,0.86103505229357,279
1168.91052246094,1783,23,35.0318199519144,0.85895171896357,274
1182.22509765625,1783,21,35.0401532852344,0.85895171896357,260
1261.0810546875,1818,18,35.0651532851944,0.85895171896357,313
1328.67944335938,1853,17,35.0776532851743,0.85895171896357,298
1328.67944335938,1853,17,35.0818199518343,0.85895171896357,266
1273.59020996094,1821,20,35.0901532851543,0.85895171896357,266
1211.271484375,1794,22,35.0484866185544,0.85686838563357,287
1273.59020996094,1821,20,35.0901532851543,0.85686838563357,268
1182.22509765625,1783,21,35.0359866185744,0.85478505230357,319
1235.89489746094,1805,23,35.0547366185444,0.85478505230357,308
1235.89489746094,1805,23,35.0589032852044,0.85478505230357,284
1305.50109863281,1855,22,35.0755699518444,0.85478505230357,267
1177.03527832031,1810,19,35.0380699519044,0.85061838564357,293
1226.52990722656,1819,18,35.0609866185344,0.85061838564357,318
1204.92309570312,1867,24,35.1151532851143,0.85061838564357,296
1177.03527832031,1810,19,35.0401532852344,0.84853505231357,273
1230.17163085938,1835,18,35.1005699518043,0.84853505231357,272
1303.23327636719,1861,22,35.0776532851743,0.84645171898357,268
1292.68664550781,1858,21,35.0901532851543,0.84645171898357,261
1193.81787109375,1837,20,35.1026532851343,0.84645171898357,281
1292.68664550781,1858,21,35.0880699518243,0.84436838565357,261
1323.33947753906,1877,18,35.0859866184943,0.84228505232357,265
1270.30346679688,1873,16,35.1005699518043,0.84228505232357,270
1175.34484863281,1802,18,35.0422366185644,0.83811838566357,297
1211.33337402344,1844,17,35.0630699518644,0.83811838566357,299
1244.41125488281,1849,20,35.0755699518444,0.83811838566357,278
1270.30346679688,1873,16,35.0943199518143,0.83811838566357,264
1165.61267089844,1776,22,35.0318199519144,0.83603505233357,320
1224.89086914062,1872,16,35.1068199517943,0.83603505233357,311
1305.076171875,1875,20,35.0839032851643,0.83395171900357,289
1216.40002441406,1845,18,35.1026532851343,0.83395171900357,287
1189.81176757812,1866,18,35.1151532851143,0.83186838567357,347
1165.66296386719,1781,18,35.0297366185844,0.82978505234357,276
0,0,0,35.1214032851043,0.82978505234357,309
1185.66345214844,1821,17,35.0630699518644,0.82770171901357,288
0,0,0,35.1422366184043,0.82770171901357,304
1287.21350097656,1867,20,35.0776532851743,0.82561838568357,286
1117.11169433594,1841,21,35.1297366184243,0.82353505235357,307
1117.11169433594,1841,21,35.1276532850943,0.82145171902357,292
1112.01159667969,1855,22,35.1401532850743,0.82145171902357,278
1167.17553710938,1816,17,35.0630699518644,0.81936838569357,287
1272.89782714844,1837,21,35.0984866184743,0.81936838569357,285
1112.01159667969,1855,22,35.1359866184143,0.81936838569357,290
1112.01159667969,1855,22,35.1380699517443,0.81936838569357,283
1136.27172851562,1783,16,35.0526532852144,0.81728505236357,282
1244.763671875,1837,17,35.0964032851443,0.81728505236357,298
1136.27172851562,1783,16,35.0589032852044,0.81520171903357,271
1136.27172851562,1783,16,35.0526532852144,0.81311838570357,278
1153.09106445312,1810,16,35.0672366185244,0.81311838570357,275
1244.763671875,1837,17,35.0964032851443,0.81311838570357,317
1116.38049316406,1801,16,35.1172366184443,0.81311838570357,327
1111.90246582031,1855,21,35.1380699517443,0.81103505237357,284
1113.18737792969,1847,20,35.1359866184143,0.80895171904357,310
1159.74499511719,1809,15,35.0714032851844,0.80686838571357,267
1099.17272949219,1834,17,35.1255699517643,0.80686838571357,301
1141.58959960938,1787,14,35.0651532851944,0.80478505238357,301
1199.44445800781,1820,15,35.0901532851543,0.80478505238357,314
1109.89855957031,1859,21,35.1276532850943,0.80478505238357,303
1109.89855957031,1859,21,35.1339032850843,0.80478505238357,319
1141.58959960938,1787,14,35.0672366185244,0.80270171905357,290
1098.74035644531,1795,17,35.1151532851143,0.80270171905357,332
1098.74035644531,1795,17,35.1172366184443,0.80270171905357,321
1099.17272949219,1834,17,35.1214032851043,0.80270171905357,297
1131.90710449219,1780,16,35.0693199518544,0.80061838572357,286
1137.61901855469,1804,15,35.0776532851743,0.79853505239357,291
1106.31042480469,1778,16,35.1047366184643,0.79853505239357,323
1094.0244140625,1810,17,35.1109866184543,0.79853505239357,373
1119.11682128906,1844,18,35.1359866184143,0.79645171906357,326
1109.58959960938,1771,17,35.0922366184843,0.79228505240357,348
1111.41162109375,1843,15,35.1214032851043,0.79228505240357,325
1127.57238769531,1857,19,35.1339032850843,0.79020171907357,323
1161.85241699219,1756,16,35.0651532851944,0.78811838574357,357
1112.560546875,1776,16,35.0734866185144,0.78811838574357,314
1109.0673828125,1775,17,35.0839032851643,0.78811838574357,342
1109.58959960938,1771,17,35.0922366184843,0.78811838574357,321
1103.19909667969,1789,18,35.1047366184643,0.78811838574357,323
1133.12060546875,1850,16,35.1422366184043,0.78603505241357,304
1101.6689453125,1758,17,35.0693199518544,0.78395171908357,322
1119.21228027344,1810,15,35.0943199518143,0.78395171908357,301
1102.11022949219,1777,17,35.0776532851743,0.78186838575357,307
1131.39831542969,1830,19,35.1214032851043,0.78186838575357,317
1148.96569824219,1862,21,35.1380699517443,0.78186838575357,340
0,0,0,35.1443199517343,0.78186838575357,339
1131.39831542969,1830,19,35.1255699517643,0.77978505242357,315
1119.21228027344,1810,15,35.0984866184743,0.77770171909357,313
1122.95654296875,1807,18,35.1130699517843,0.77770171909357,340
1156.0400390625,1848,16,35.1026532851343,0.77561838576357,308
1086.72180175781,1768,22,35.0693199518544,0.77353505243357,308
1100.1279296875,1797,18,35.0797366185043,0.77353505243357,296
1100.1279296875,1797,18,35.0839032851643,0.77353505243357,286
1156.0400390625,1848,16,35.1089032851243,0.77353505243357,321
1178.34936523438,1873,19,35.1297366184243,0.77353505243357,343
1164.03540039062,1869,19,35.1422366184043,0.76936838577357,380
1225.20568847656,1900,20,35.1297366184243,0.76728505244357,334
0,0,0,35.0651532851944,0.76520171911357,300
1090.13122558594,1799,21,35.0818199518343,0.76520171911357,333
1236.67492675781,1895,20,35.1214032851043,0.76520171911357,337
1236.67492675781,1895,20,35.1193199517743,0.76311838578357,351
1236.67492675781,1895,20,35.1214032851043,0.76311838578357,344
0,0,0,35.0505699518844,0.76103505245357,329
1177.16345214844,1872,17,35.1047366184643,0.76103505245357,378
1213.31469726562,1876,18,35.1130699517843,0.76103505245357,358
1236.67492675781,1895,20,35.1234866184343,0.76103505245357,370
1117.05700683594,1750,17,35.0568199518744,0.75895171912357,335
1129.31372070312,1841,22,35.0943199518143,0.75895171912357,318
1257.72631835938,1922,20,35.1234866184343,0.75895171912357,389
1089.50109863281,1763,23,35.0755699518444,0.75686838579357,315
0,0,0,34.9714032853444,0.75478505246357,310
0,0,0,34.9755699520044,0.75478505246357,330
1089.50109863281,1763,23,35.0714032851844,0.75478505246357,292
1225.77661132812,1901,17,35.1151532851143,0.75478505246357,353
1257.72631835938,1922,20,35.1193199517743,0.75478505246357,358
1257.72631835938,1922,20,35.1214032851043,0.75478505246357,401
1252.90515136719,1918,20,35.1339032850843,0.75478505246357,361
1176.31274414062,1881,19,35.1089032851243,0.75270171913357,376
1213.61169433594,1904,19,35.1380699517443,0.75270171913357,335
1147.0810546875,1781,22,35.0651532851944,0.75061838580357,289
1169.64562988281,1659,26,34.9755699520044,0.74853505247357,318
1236.26281738281,1912,22,35.1234866184343,0.74853505247357,392
1215.15942382812,1923,18,35.1401532850743,0.74853505247357,354
0,0,0,35.1443199517343,0.74853505247357,365
0,0,0,34.9943199519744,0.74645171914357,315
1065.25073242188,1712,18,35.0359866185744,0.74645171914357,324
1122.24243164062,1790,22,35.0714032851844,0.74645171914357,295
1171.99890136719,1892,16,35.1047366184643,0.74645171914357,364
1240.27160644531,1925,20,35.1339032850843,0.74645171914357,409
1146.22448730469,1795,19,35.0547366185444,0.74436838581357,293
1100.61315917969,1772,22,35.0839032851643,0.74436838581357,299
1128.544921875,1838,17,35.1005699518043,0.74436838581357,356
1171.99890136719,1892,16,35.1047366184643,0.74436838581357,377
1171.99890136719,1892,16,35.1089032851243,0.74436838581357,352
1205.59399414062,1692,22,34.9568199520344,0.74228505248357,306
1170.13952636719,1905,16,35.1026532851343,0.74228505248357,384
1277.04821777344,1687,22,34.9672366186844,0.74020171915357,314
1282.93395996094,1689,22,34.9859866186544,0.74020171915357,276
1055.54638671875,1704,16,35.0151532852744,0.74020171915357,325
1055.75476074219,1690,18,35.0297366185844,0.74020171915357,332
1277.04821777344,1687,22,34.9609866186944,0.73811838582357,294
1133.66748046875,1768,22,35.0464032852244,0.73811838582357,284
1173.78051757812,1906,23,35.1464032850643,0.73811838582357,391
1095.87573242188,1632,24,34.9380699520644,0.73603505249357,306
1131.25891113281,1663,20,34.9484866187144,0.73603505249357,295
1159.18859863281,1673,23,35.0005699519644,0.73603505249357,313
1079.00268554688,1734,18,35.0380699519044,0.73603505249357,300
1133.66748046875,1768,22,35.0464032852244,0.73603505249357,290
1106.03930664062,1640,21,34.9318199520744,0.73395171916357,311
1475.10205078125,1784,28,34.9734866186744,0.73395171916357,316
1509.46875,1809,27,34.9818199519944,0.73395171916357,293
1265.92700195312,1699,23,34.9984866186344,0.73395171916357,289
