"annual_precip","clay","occ","ph20","tree_cover","X","Y","k"
1876.22729492188,36,46,59,25,36.6755475403853,-0.761884907091186,465
1876.22729492188,36,46,59,25,36.6713809093709,-0.76396826112766,535
1899.4208984375,35,47,60,0,36.6797141713997,-0.76396826112766,461
1925.89526367188,36,48,58,57,36.6692975938638,-0.766051615164134,538
1896.49816894531,37,45,59,47,36.6630476473422,-0.768134969200608,503
1896.49816894531,37,45,59,47,36.6651309628494,-0.768134969200608,521
1969.1123046875,31,62,54,57,36.6922140644427,-0.768134969200608,390
1925.89526367188,36,48,58,57,36.6755475403853,-0.770218323237082,541
1969.1123046875,31,62,54,57,36.6859641179212,-0.770218323237082,415
1969.1123046875,31,62,54,57,36.6880474334284,-0.770218323237082,372
1896.49816894531,37,45,59,47,36.6630476473422,-0.772301677273556,529
1961.96130371094,34,59,59,12,36.6776308558925,-0.772301677273556,490
2025.41931152344,33,55,54,63,36.6922140644427,-0.774385031310031,355
1964.70007324219,29,74,53,51,36.6963806954571,-0.774385031310031,432
1960.9208984375,35,44,58,15,36.6755475403853,-0.776468385346505,473
1998.57580566406,34,56,56,56,36.6817974869068,-0.776468385346505,473
2025.41931152344,33,55,54,63,36.6901307489355,-0.780635093419453,356
2025.41931152344,33,55,54,63,36.6922140644427,-0.780635093419453,337
1964.70007324219,29,74,53,51,36.6942973799499,-0.780635093419453,328
1975.43103027344,36,40,58,34,36.6672142783566,-0.782718447455927,504
2022.98913574219,34,49,57,85,36.6797141713997,-0.782718447455927,423
2059.2392578125,31,59,53,59,36.6922140644427,-0.782718447455927,333
2032.67321777344,28,68,53,70,36.6984640109643,-0.782718447455927,390
1989.34338378906,35,45,58,85,36.6734642248781,-0.784801801492402,473
2059.2392578125,31,59,53,59,36.6880474334284,-0.784801801492402,356
1989.34338378906,35,45,58,85,36.6713809093709,-0.786885155528876,462
2059.2392578125,31,59,53,59,36.6922140644427,-0.786885155528876,309
2032.67321777344,28,68,53,70,36.6984640109643,-0.786885155528876,297
2032.67321777344,28,68,53,70,36.7005473264714,-0.786885155528876,303
1975.43103027344,36,40,58,34,36.6672142783566,-0.78896850956535,450
2022.98913574219,34,49,57,85,36.6797141713997,-0.78896850956535,398
1925.11779785156,29,57,52,81,36.7047139574858,-0.78896850956535,708
2012.52673339844,33,43,56,64,36.6755475403853,-0.793135217638298,401
2039.61181640625,30,44,58,55,36.6797141713997,-0.795218571674773,319
2079.0390625,28,60,53,56,36.6922140644427,-0.795218571674773,299
2004.32727050781,34,42,58,87,36.6630476473422,-0.797301925711247,422
2039.61181640625,30,44,58,55,36.6817974869068,-0.797301925711247,272
2079.0390625,28,60,53,56,36.6859641179212,-0.797301925711247,282
2079.0390625,28,60,53,56,36.6880474334284,-0.797301925711247,285
2079.0390625,28,60,53,56,36.6922140644427,-0.797301925711247,299
2000.82043457031,30,55,52,50,36.7088805885002,-0.797301925711247,404
2023.39514160156,36,46,58,36,36.6526310698063,-0.799385279747721,414
2023.39514160156,36,46,58,36,36.6588810163279,-0.799385279747721,406
2028.00646972656,34,43,57,90,36.6672142783566,-0.799385279747721,423
2105.892578125,28,73,52,52,36.6942973799499,-0.799385279747721,280
1969.84948730469,31,52,50,69,36.7109639040073,-0.799385279747721,416
2023.39514160156,36,46,58,36,36.6588810163279,-0.801468633784195,459
2028.00646972656,34,43,57,90,36.6630476473422,-0.801468633784195,440
2088.53735351562,26,63,54,77,36.6922140644427,-0.803551987820669,279
2028.00646972656,34,43,57,90,36.6651309628494,-0.805635341857144,370
2034.21020507812,32,42,54,94,36.6755475403853,-0.805635341857144,289
1969.84948730469,31,52,50,69,36.7130472195145,-0.805635341857144,296
2049.64331054688,31,41,55,93,36.6755475403853,-0.807718695893618,297
2068.52368164062,28,46,53,60,36.6817974869068,-0.807718695893618,270
2068.52368164062,28,46,53,60,36.683880802414,-0.807718695893618,279
2094.02734375,27,62,52,43,36.6922140644427,-0.807718695893618,282
2113.49926757812,28,60,52,76,36.6963806954571,-0.809802049930092,275
2065.16357421875,30,61,51,69,36.7130472195145,-0.809802049930092,281
2065.16357421875,30,61,51,69,36.7151305350217,-0.809802049930092,291
2039.71667480469,34,56,58,15,36.6526310698063,-0.811885403966566,468
2113.49926757812,28,60,52,76,36.6942973799499,-0.811885403966566,286
2113.49926757812,28,60,52,76,36.6963806954571,-0.811885403966566,288
2108.39624023438,29,59,52,65,36.706797272993,-0.811885403966566,278
2015.07653808594,31,59,50,75,36.7234637970504,-0.811885403966566,378
1997.97534179688,31,52,50,61,36.7317970590791,-0.811885403966566,693
2014.04443359375,37,42,58,21,36.6359645457489,-0.81396875800304,496
2068.52368164062,28,46,53,60,36.6797141713997,-0.81396875800304,298
2065.16357421875,30,61,51,69,36.7130472195145,-0.81396875800304,282
2045.42529296875,34,49,59,15,36.6463811232848,-0.816052112039515,507
2059.212890625,32,53,54,53,36.6692975938638,-0.816052112039515,408
2078.05151367188,29,54,53,43,36.6817974869068,-0.816052112039515,309
2125.51879882812,29,61,52,70,36.7047139574858,-0.816052112039515,277
2118.15771484375,29,61,50,62,36.7151305350217,-0.816052112039515,290
2093.58032226562,30,64,52,60,36.7255471125576,-0.816052112039515,320
2050.49755859375,30,53,50,90,36.7338803745863,-0.816052112039515,699
1992.98388671875,31,59,51,61,36.7359636900935,-0.816052112039515,681
2052.41064453125,33,46,59,18,36.6567977008207,-0.818135466075989,506
2059.212890625,32,53,54,53,36.6713809093709,-0.818135466075989,467
2059.212890625,32,53,54,53,36.6734642248781,-0.818135466075989,435
2098.96142578125,27,53,52,60,36.6859641179212,-0.818135466075989,297
2125.51879882812,29,61,52,70,36.706797272993,-0.818135466075989,270
2093.58032226562,30,64,52,60,36.7213804815432,-0.818135466075989,300
2050.49755859375,30,53,50,90,36.7297137435719,-0.818135466075989,373
2050.49755859375,30,53,50,90,36.7338803745863,-0.818135466075989,697
2028.65319824219,35,47,59,16,36.6359645457489,-0.820218820112463,513
2028.65319824219,35,47,59,16,36.6380478612561,-0.820218820112463,508
2028.65319824219,35,47,59,16,36.6401311767633,-0.820218820112463,505
2052.41064453125,33,46,59,18,36.6547143853135,-0.820218820112463,508
2093.58032226562,30,64,52,60,36.719297166036,-0.820218820112463,302
2003.26611328125,37,41,60,17,36.6276312837202,-0.822302174148937,553
2045.42529296875,34,49,59,15,36.6442978077776,-0.822302174148937,502
2059.212890625,32,53,54,53,36.6713809093709,-0.822302174148937,521
2078.05151367188,29,54,53,43,36.6817974869068,-0.822302174148937,357
2118.15771484375,29,61,50,62,36.7109639040073,-0.822302174148937,280
2118.15771484375,29,61,50,62,36.7130472195145,-0.822302174148937,282
2093.58032226562,30,64,52,60,36.7255471125576,-0.822302174148937,295
1992.98388671875,31,59,51,61,36.742213636615,-0.822302174148937,707
2039.8525390625,33,47,58,96,36.6401311767633,-0.824385528185411,482
2103.26953125,27,48,54,56,36.6859641179212,-0.824385528185411,359
2130.93701171875,28,60,53,61,36.7172138505289,-0.824385528185411,288
2094.28002929688,29,41,50,62,36.7317970590791,-0.824385528185411,303
1865.01391601562,38,29,60,1,36.590131604591,-0.826468882221886,656
2011.38024902344,35,50,60,82,36.6338812302417,-0.826468882221886,509
2062.2607421875,32,46,58,15,36.660964331835,-0.826468882221886,473
