"annual_precip","land_elevation","occ","ph20","temp_annual_range","tree_cover","X","Y","k"
647.120971679688,1513,9,66,17.9661445617676,5,36.192218342247,0.229791614906832,673
660.162841796875,1581,12,65,17.9341831207275,11,36.2026349197871,0.223541552795031,736
660.162841796875,1581,12,65,17.9341831207275,11,36.2088848663111,0.223541552795031,651
712.195922851562,1686,17,65,17.9191761016846,18,36.2130514973272,0.223541552795031,591
660.162841796875,1581,12,65,17.9341831207275,11,36.2026349197871,0.221458198757764,767
712.195922851562,1686,17,65,17.9191761016846,18,36.2109681818192,0.221458198757764,621
712.195922851562,1686,17,65,17.9191761016846,18,36.2130514973272,0.221458198757764,631
712.195922851562,1686,17,65,17.9191761016846,18,36.2151348128352,0.221458198757764,618
660.162841796875,1581,12,65,17.9341831207275,11,36.2088848663111,0.219374844720497,671
701.133544921875,1713,15,63,17.9210205078125,18,36.2130514973272,0.21729149068323,567
655.741394042969,1567,9,66,17.9390869140625,5,36.2088848663111,0.215208136645963,728
655.741394042969,1567,9,66,17.9390869140625,5,36.2026349197871,0.211041428571428,756
738.980407714844,1840,17,63,17.9249095916748,11,36.2213847593593,0.211041428571428,571
655.116455078125,1575,10,64,17.9569149017334,9,36.200551604279,0.206874720496894,758
661.632629394531,1581,10,64,17.9417476654053,4,36.2047182352951,0.206874720496894,757
722.281799316406,1772,16,66,17.9036960601807,9,36.2276347058834,0.206874720496894,591
696.302612304688,1660,16,60,17.9231052398682,17,36.2151348128352,0.204791366459627,584
721.462829589844,1757,15,61,17.9098434448242,7,36.2255513903753,0.204791366459627,604
661.632629394531,1581,10,64,17.9417476654053,4,36.2088848663111,0.20270801242236,709
696.302612304688,1660,16,60,17.9231052398682,17,36.2172181283432,0.20270801242236,590
718.720825195312,1822,18,62,17.9091930389404,12,36.2359679679155,0.20270801242236,633
668.584350585938,1571,9,67,17.9598789215088,8,36.196384973263,0.200624658385093,714
703.839233398438,1677,9,65,17.9264106750488,14,36.2172181283432,0.200624658385093,618
705.366394042969,1734,9,66,17.8997688293457,7,36.2318013368994,0.200624658385093,606
680.564331054688,1690,13,61,17.9433174133301,20,36.2047182352951,0.198541304347826,746
713.579895019531,1572,9,66,17.9726753234863,1,36.1880517112309,0.196457950310559,738
843.416442871094,1635,9,66,17.9821968078613,5,36.1818017647068,0.194374596273292,627
704.516357421875,1843,19,61,17.9080848693848,14,36.2463845454556,0.194374596273292,773
826.877319335938,1651,8,66,17.9863243103027,1,36.1838850802149,0.192291242236025,686
