"X","Y","k","annual_ppt","bareground","elevation","occ","ph20","slope","temp_annual_range","topo_pst_index","treecover","valley_depth","veg_index","wetness_index"
34.5172366194046,0.940201718833563,416,1729.80090332031,0,2640,44,53,15,17.2805519104004,106,97,4649,1383,88
34.5464032860246,0.940201718833563,407,1756.14807128906,0,2653,43,53,16,17.3354911804199,-153,98,3362,1264,85
34.5005699527646,0.938118385503563,411,1681.9873046875,0,2646,50,52,15,17.2497444152832,162,94,5074,2322,89
34.5547366193446,0.938118385503563,421,1738.98461914062,0,2633,46,52,19,17.3430004119873,-204,97,2940,1518,84
34.5755699526446,0.938118385503563,408,1647.11413574219,0,2693,41,52,24,17.3614063262939,-29,79,2744,1263,84
34.6630699525046,0.931868385513563,305,1986.30163574219,0,2623,48,52,23,17.456714630127,167,72,-1608,1287,84
34.7547366190245,0.929785052183563,371,2008.65319824219,5,2293,30,60,8,17.6345539093018,-79,17,-1559,1328,87
34.5380699527046,0.927701718853563,388,1752.74780273438,0,2658,38,54,10,17.3046436309814,320,97,2985,1321,83
34.6089032859246,0.925618385523563,353,1859.810546875,0,2676,31,52,6,17.4022006988525,45,80,374,1662,82
34.6859866191345,0.923535052193563,351,1908.40869140625,0,2447,48,52,7,17.4504203796387,-167,98,-477,1702,82
34.6422366192046,0.919368385533563,291,2024.74523925781,0,2607,36,52,5,17.4278907775879,33,73,-618,2148,76
34.7068199524345,0.917285052203563,315,2027.4892578125,0,2482,30,54,18,17.4814605712891,179,68,-1298,1155,88
34.5734866193146,0.913118385543563,352,1689.89050292969,0,2475,30,54,8,17.2979469299316,56,97,2324,1336,88
34.6089032859246,0.913118385543563,334,1828.02526855469,0,2486,41,51,13,17.3504848480225,-138,61,943,1944,83
34.4630699528246,0.911035052213563,377,1513.93981933594,0,2376,44,54,24,17.2743072509766,52,98,5717,2010,88
34.5672366193246,0.908951718883563,365,1713.06860351562,0,2426,32,54,9,17.2817859649658,-314,90,3313,1623,88
34.5380699527046,0.906868385553563,387,1926.45263671875,0,2543,33,55,12,17.2529430389404,103,98,2738,1456,87
34.5609866193346,0.906868385553563,368,1834.63891601562,0,2477,35,56,3,17.2617645263672,72,99,2409,1793,94
34.6547366191846,0.900618385563563,330,1978.35327148438,0,2478,35,59,11,17.4129409790039,441,55,-266,1873,90
34.7130699524245,0.900618385563563,446,1987.44787597656,0,2371,28,56,12,17.5392265319824,307,98,0,1222,85
34.4568199528346,0.898535052233563,452,1455.31921386719,0,2173,34,54,21,17.4703769683838,-684,95,8334,1905,90
34.5755699526446,0.896451718903563,347,1730.37097167969,0,2384,30,58,13,17.3345355987549,-1,57,1947,1616,90
34.5943199526146,0.896451718903563,380,1799.5810546875,0,2357,34,58,7,17.3409271240234,-238,40,1961,1787,90
34.7005699524445,0.896451718903563,426,1799.59521484375,0,2195,24,53,12,17.7058601379395,-423,98,1472,1654,85
34.6068199525946,0.894368385573563,390,1840.5517578125,0,2335,34,58,4,17.3694496154785,-182,63,1847,1761,87
34.4693199528146,0.892285052243563,385,1511.92565917969,0,2377,36,52,14,17.3150329589844,340,97,5826,1933,84
