X,Y,k
34.5901532859546,1.13186838519357,374.00000000
34.5964032859446,1.10895171856357,450.00000000
34.5609866193346,1.10270171857357,430.00000000
34.5776532859746,1.10270171857357,408.00000000
34.5964032859446,1.09436838525357,449.00000000
34.5651532859946,1.09228505192357,459.00000000
34.5859866192946,1.09020171859357,466.00000000
34.5359866193746,1.08811838526357,458.00000000
34.6089032859246,1.06311838530357,439.00000000
34.6172366192446,1.04436838533356,427.00000000
34.6484866191946,1.04228505200356,405.00000000
34.6026532859346,1.04020171867356,454.00000000
34.4943199527746,1.03603505201356,460.00000000
34.6047366192646,1.03395171868356,413.00000000
34.6318199525546,1.02770171869356,362.00000000
34.6589032858446,1.02770171869356,344.00000000
34.6005699526046,1.02561838536356,386.00000000
34.6776532858145,1.02145171870356,287.00000000
34.6005699526046,1.01311838538356,335.00000000
34.6339032858846,1.01311838538356,340.00000000
34.6443199525346,1.01103505205356,319.00000000
34.4922366194446,1.00686838539356,433.00000000
34.6172366192446,1.00270171873356,310.00000000
34.6693199524945,1.00061838540356,361.00000000
34.5234866193946,0.998535052073562,420.00000000
34.6297366192246,0.998535052073562,368.00000000
34.6422366192046,0.998535052073562,314.00000000
34.5776532859746,0.994368385413562,409.00000000
34.6234866192346,0.994368385413562,331.00000000
34.5714032859846,0.992285052083562,435.00000000
34.5818199526346,0.992285052083562,403.00000000
34.5901532859546,0.990201718753562,349.00000000
34.6776532858145,0.988118385423562,304.00000000
34.5734866193146,0.979785052103562,440.00000000
34.5234866193946,0.977701718773562,394.00000000
34.5547366193446,0.977701718773562,386.00000000
34.6401532858746,0.977701718773562,352.00000000
34.6839032858045,0.977701718773562,328.00000000
34.6734866191545,0.973535052113563,323.00000000
34.6672366191645,0.971451718783563,299.00000000
34.4984866194346,0.965201718793563,414.00000000
34.6339032858846,0.965201718793563,337.00000000
34.6672366191645,0.965201718793563,300.00000000
34.6693199524945,0.965201718793563,296.00000000
34.5964032859446,0.963118385463563,339.00000000
34.5964032859446,0.961035052133563,342.00000000
34.6339032858846,0.961035052133563,357.00000000
34.6943199524545,0.961035052133563,289.00000000
34.4943199527746,0.958951718803563,444.00000000
34.6318199525546,0.954785052143563,376.00000000
34.6589032858446,0.952701718813563,297.00000000
34.7255699524045,0.942285052163563,286.00000000
34.5172366194046,0.940201718833563,416.00000000
34.5464032860246,0.940201718833563,407.00000000
34.5005699527646,0.938118385503563,411.00000000
34.5547366193446,0.938118385503563,421.00000000
34.5755699526446,0.938118385503563,408.00000000
34.6630699525046,0.931868385513563,305.00000000
34.7547366190245,0.929785052183563,371.00000000
34.5380699527046,0.927701718853563,388.00000000
34.6089032859246,0.925618385523563,353.00000000
34.6859866191345,0.923535052193563,351.00000000
34.6422366192046,0.919368385533563,291.00000000
34.7068199524345,0.917285052203563,315.00000000
34.5734866193146,0.913118385543563,352.00000000
34.6089032859246,0.913118385543563,334.00000000
34.4630699528246,0.911035052213563,377.00000000
34.5672366193246,0.908951718883563,365.00000000
34.5380699527046,0.906868385553563,387.00000000
34.5609866193346,0.906868385553563,368.00000000
34.6547366191846,0.900618385563563,330.00000000
34.7130699524245,0.900618385563563,446.00000000
34.4568199528346,0.898535052233563,452.00000000
34.5755699526446,0.896451718903563,347.00000000
34.5943199526146,0.896451718903563,380.00000000
34.7005699524445,0.896451718903563,426.00000000
34.6068199525946,0.894368385573563,390.00000000
34.4693199528146,0.892285052243563,385.00000000
34.4901532861146,0.892285052243563,354.00000000
34.5943199526146,0.892285052243563,366.00000000
34.6068199525946,0.890201718913563,356.00000000
34.5193199527346,0.888118385583563,448.00000000
34.6859866191345,0.888118385583563,401.00000000
35.0234866185944,0.888118385583563,320.00000000
34.7776532856545,0.883951718923563,432.00000000
34.4693199528146,0.881868385593563,346.00000000
34.5276532860546,0.881868385593563,456.00000000
34.7339032857245,0.881868385593563,406.00000000
34.7880699523045,0.881868385593563,359.00000000
34.6193199525746,0.879785052263563,401.00000000
35.0964032851443,0.879785052263563,305.00000000
34.4526532861747,0.877701718933563,437.00000000
35.0630699518644,0.877701718933563,336.00000000
34.6255699525646,0.875618385603563,415.00000000
34.7089032857645,0.875618385603563,393.00000000
35.0130699519444,0.875618385603563,294.00000000
