"annual_ppt","elevation","occ","ph20","slope","temp_annual_range","treecover","wetness_index","X","Y","k"
1662.52514648438,4132,82,60,16,17.302770614624,24,73,34.5609866193346,1.10270171857357,430
1823.12109375,3888,105,61,24,17.3570079803467,26,70,34.5964032859446,1.09436838525357,449
1742.11865234375,4129,59,59,19,17.2752590179443,20,69,34.5651532859946,1.09228505192357,459
1807.57116699219,4043,58,61,27,17.3042984008789,14,69,34.5859866192946,1.09020171859357,466
1506.11853027344,3986,50,59,21,17.3125877380371,17,72,34.5359866193746,1.08811838526357,458
1991.39196777344,3255,30,62,6,17.609037399292,21,91,34.6484866191946,1.04228505200356,405
1898.81262207031,3322,32,62,7,17.5576438903809,32,85,34.6026532859346,1.04020171867356,454
1567.19763183594,3313,42,58,32,17.4763870239258,22,71,34.4943199527746,1.03603505201356,460
1926.04455566406,3342,32,61,9,17.565034866333,28,82,34.6047366192646,1.03395171868356,413
1981.72424316406,3274,25,60,6,17.5882091522217,17,83,34.6318199525546,1.02770171869356,362
2032.02209472656,3025,35,57,11,17.6110553741455,58,85,34.6589032858446,1.02770171869356,344
1887.54431152344,3316,34,62,15,17.5597763061523,19,87,34.6005699526046,1.02561838536356,386
2068.79321289062,2812,44,55,18,17.5836658477783,87,86,34.6776532858145,1.02145171870356,287
1602.89074707031,2900,57,54,9,17.4299449920654,79,85,34.4922366194446,1.00686838539356,433
1946.35327148438,3075,26,58,7,17.5684547424316,60,95,34.6172366192446,1.00270171873356,310
2070.24780273438,2987,42,57,10,17.5887031555176,34,80,34.6693199524945,1.00061838540356,361
1520.77697753906,3008,50,54,27,17.4568614959717,86,76,34.5234866193946,0.998535052073562,420
2008.15869140625,3070,29,58,17,17.5571365356445,69,91,34.6297366192246,0.998535052073562,368
1946.1943359375,3137,26,60,9,17.5290679931641,22,87,34.5776532859746,0.994368385413562,409
1986.017578125,3035,29,56,15,17.5592994689941,66,91,34.6234866192346,0.994368385413562,331
1946.1943359375,3137,26,60,9,17.5290679931641,22,87,34.5714032859846,0.992285052083562,435
1956.3671875,3140,25,59,21,17.5320682525635,37,77,34.5818199526346,0.992285052083562,403
1899.40026855469,3040,27,57,2,17.5147380828857,30,85,34.5901532859546,0.990201718753562,349
1925.81640625,3079,23,58,14,17.4957847595215,51,82,34.5734866193146,0.979785052103562,440
1583.14086914062,2943,55,55,14,17.415922164917,95,81,34.5234866193946,0.977701718773562,394
2052.76000976562,2926,37,54,8,17.5321235656738,56,96,34.6401532858746,0.977701718773562,352
2074.43090820312,2753,31,55,13,17.5291576385498,93,90,34.6839032858045,0.977701718773562,328
2078.9580078125,2765,22,54,18,17.5206699371338,95,95,34.6734866191545,0.973535052113563,323
1573.01086425781,2696,55,52,21,17.3058948516846,83,91,34.4984866194346,0.965201718793563,414
1962.08569335938,2887,32,54,3,17.5035152435303,18,96,34.6339032858846,0.965201718793563,337
2105.64428710938,2770,29,55,7,17.5205154418945,96,93,34.6672366191645,0.965201718793563,300
2105.64428710938,2770,29,55,7,17.5205154418945,96,93,34.6693199524945,0.965201718793563,296
1893.98901367188,2959,34,54,7,17.4788131713867,30,84,34.5964032859446,0.963118385463563,339
1962.08569335938,2887,32,54,3,17.5035152435303,18,96,34.6339032858846,0.961035052133563,357
1599.14013671875,2697,51,52,22,17.2901210784912,91,87,34.4943199527746,0.958951718803563,444
2094.24169921875,2802,37,53,13,17.5091724395752,93,88,34.6589032858446,0.952701718813563,297
1729.80090332031,2640,44,53,15,17.2805519104004,97,88,34.5172366194046,0.940201718833563,416
1738.98461914062,2633,46,52,19,17.3430004119873,97,84,34.5547366193446,0.938118385503563,421
1647.11413574219,2693,41,52,24,17.3614063262939,79,84,34.5755699526446,0.938118385503563,408
1986.30163574219,2623,48,52,23,17.456714630127,72,84,34.6630699525046,0.931868385513563,305
2008.65319824219,2293,30,60,8,17.6345539093018,17,87,34.7547366190245,0.929785052183563,371
1859.810546875,2676,31,52,6,17.4022006988525,80,82,34.6089032859246,0.925618385523563,353
1908.40869140625,2447,48,52,7,17.4504203796387,98,82,34.6859866191345,0.923535052193563,351
2024.74523925781,2607,36,52,5,17.4278907775879,73,76,34.6422366192046,0.919368385533563,291
2027.4892578125,2482,30,54,18,17.4814605712891,68,88,34.7068199524345,0.917285052203563,315
1828.02526855469,2486,41,51,13,17.3504848480225,61,83,34.6089032859246,0.913118385543563,334
1513.93981933594,2376,44,54,24,17.2743072509766,98,88,34.4630699528246,0.911035052213563,377
1713.06860351562,2426,32,54,9,17.2817859649658,90,88,34.5672366193246,0.908951718883563,365
1926.45263671875,2543,33,55,12,17.2529430389404,98,87,34.5380699527046,0.906868385553563,387
1455.31921386719,2173,34,54,21,17.4703769683838,95,90,34.4568199528346,0.898535052233563,452
1730.37097167969,2384,30,58,13,17.3345355987549,57,90,34.5755699526446,0.896451718903563,347
1799.5810546875,2357,34,58,7,17.3409271240234,40,90,34.5943199526146,0.896451718903563,380
1511.92565917969,2377,36,52,14,17.3150329589844,97,84,34.4693199528146,0.892285052243563,385
1799.5810546875,2357,34,58,7,17.3409271240234,40,90,34.5943199526146,0.892285052243563,366
1881.42639160156,2383,35,57,12,17.3937759399414,15,93,34.6068199525946,0.890201718913563,356
1581.9541015625,2204,33,55,12,17.4211177825928,95,84,34.5193199527346,0.888118385583563,448
1739.87097167969,2199,27,54,15,17.791072845459,97,87,34.6859866191345,0.888118385583563,401
1196.04016113281,1771,23,61,2,18.698184967041,26,108,35.0234866185944,0.888118385583563,320
1892.5517578125,2098,31,60,4,18.1134147644043,19,89,34.7776532856545,0.883951718923563,432
1913.92260742188,2144,36,61,6,17.9580974578857,16,87,34.7339032857245,0.881868385593563,406
1768.34985351562,1950,25,60,5,18.3152503967285,15,91,34.7880699523045,0.881868385593563,359
1820.53161621094,2237,27,56,15,17.5479488372803,44,85,34.6193199525746,0.879785052263563,401
1168.80700683594,1799,22,59,5,18.6786251068115,21,100,35.0964032851443,0.879785052263563,305
1413.43762207031,1843,20,60,3,18.6335163116455,11,102,35.0630699518644,0.877701718933563,336
1852.38635253906,2190,23,55,12,17.8530769348145,97,88,34.7089032857645,0.875618385603563,393
1969.23059082031,2285,26,54,5,17.59494972229,99,80,34.6589032858446,0.873535052273563,410
1766.4619140625,1994,28,60,11,18.3233318328857,18,90,34.7797366189845,0.873535052273563,360
1466.57348632812,2172,43,58,21,17.5989665985107,16,78,34.4568199528346,0.867285052283563,389
1724.41357421875,2251,40,59,16,17.5453968048096,18,91,34.5797366193046,0.867285052283563,390
1821.27770996094,1998,27,58,11,18.2323226928711,15,91,34.7547366190245,0.867285052283563,369
1151.13891601562,1744,20,60,5,18.7202472686768,15,109,34.9714032853444,0.867285052283563,284
1116.36950683594,1784,23,59,2,18.6826839447021,18,101,35.1047366184643,0.867285052283563,276
1564.51013183594,2173,29,55,21,17.516284942627,98,84,34.4734866194746,0.865201718953563,349
1335.49523925781,1788,21,60,4,18.6771926879883,19,103,35.0047366186244,0.865201718953563,251
1377.94287109375,1849,23,62,3,18.627571105957,8,107,35.0776532851743,0.861035052293563,400
1204.79113769531,1754,19,60,1,18.6995506286621,27,106,34.9797366186644,0.858951718963563,233
1149.20971679688,1823,21,57,16,18.6482219696045,12,100,35.1089032851243,0.856868385633563,313
1947.56115722656,2234,44,57,13,17.5299377441406,19,90,34.5589032860046,0.854785052303563,412
1211.271484375,1794,22,58,1,18.672212600708,23,102,35.0484866185544,0.854785052303563,302
1261.0810546875,1818,18,59,5,18.6576728820801,14,102,35.0651532851944,0.854785052303563,310
1193.02026367188,1490,22,58,7,17.8485813140869,39,92,34.4255699528847,0.850618385643563,288
1790.08447265625,2077,31,61,22,17.885232925415,34,87,34.6484866191946,0.850618385643563,455
1235.89489746094,1805,23,59,5,18.6654453277588,17,102,35.0568199518744,0.850618385643563,304
1341.17858886719,1836,35,57,12,17.9163608551025,24,81,34.4693199528146,0.848535052313563,366
