"annual_ppt","elevation","occ","ph20","slope","temp_annual_range","treecover","wetness_index","X","Y","k"
1660.96826171875,4083,127,60,28,17.3284225463867,50,69,34.5776532859746,1.10270171857357,408
1887.54431152344,3316,34,62,15,17.5597763061523,19,87,34.6005699526046,1.02561838536356,386
2000.21240234375,3150,36,58,24,17.5895233154297,44,83,34.6443199525346,1.01103505205356,319
1946.35327148438,3075,26,58,7,17.5684547424316,60,95,34.6172366192446,1.00270171873356,310
2008.15869140625,3070,29,58,17,17.5571365356445,69,91,34.6297366192246,0.998535052073562,368
1956.3671875,3140,25,59,21,17.5320682525635,37,77,34.5818199526346,0.992285052083562,403
1899.40026855469,3040,27,57,2,17.5147380828857,30,85,34.5901532859546,0.990201718753562,349
2052.76000976562,2926,37,54,8,17.5321235656738,56,96,34.6401532858746,0.977701718773562,352
1681.9873046875,2646,50,52,15,17.2497444152832,94,89,34.5005699527646,0.938118385503563,411
1730.37097167969,2384,30,58,13,17.3345355987549,57,90,34.5755699526446,0.896451718903563,347
1840.5517578125,2335,34,58,4,17.3694496154785,63,87,34.6068199525946,0.894368385573563,390
1913.92260742188,2144,36,61,6,17.9580974578857,16,87,34.7339032857245,0.881868385593563,406
1820.53161621094,2237,27,56,15,17.5479488372803,44,85,34.6193199525746,0.879785052263563,401
1168.80700683594,1799,22,59,5,18.6786251068115,21,100,35.0964032851443,0.879785052263563,305
1278.41101074219,1785,23,61,3,18.6866264343262,12,104,35.0130699519444,0.875618385603563,294
1341.54040527344,1813,22,62,4,18.6665878295898,8,103,35.0005699519644,0.871451718943563,301
1821.27770996094,1998,27,58,11,18.2323226928711,15,91,34.7547366190245,0.867285052283563,369
1335.49523925781,1788,21,60,4,18.6771926879883,19,103,35.0047366186244,0.865201718953563,251
1168.91052246094,1783,23,58,3,18.6973857879639,11,103,35.0339032852444,0.854785052303563,280
1193.02026367188,1490,22,58,7,17.8485813140869,39,92,34.4255699528847,0.850618385643563,288
1211.271484375,1794,22,58,1,18.672212600708,23,102,35.0464032852244,0.850618385643563,306
1235.89489746094,1805,23,59,5,18.6654453277588,17,102,35.0568199518744,0.850618385643563,304
1341.17858886719,1836,35,57,12,17.9163608551025,24,81,34.4693199528146,0.848535052313563,366
1857.99084472656,2179,44,60,12,17.7362327575684,20,92,34.5964032859446,0.848535052313563,414
1994.98669433594,2283,45,59,4,17.468599319458,51,86,34.5464032860246,0.846451718983563,400
1791.66528320312,2083,39,58,14,17.8504161834717,18,87,34.6130699525846,0.846451718983563,402
1512.486328125,2044,33,58,6,17.6793937683105,85,90,34.5276532860546,0.844368385653563,360
1816.55603027344,1976,31,60,3,18.1862907409668,31,93,34.7005699524445,0.844368385653563,307
1783.97302246094,2019,35,60,11,18.0456352233887,28,88,34.6505699525246,0.840201718993563,397
1313.87451171875,1702,18,60,2,18.5726337432861,39,97,34.7776532856545,0.836035052333563,371
1992.89916992188,2026,38,59,18,17.8250694274902,13,92,34.5797366193046,0.823535052353563,325
1569.70703125,1738,20,59,2,18.5020732879639,22,106,34.7297366190645,0.817285052363563,242
1439.66674804688,1739,17,59,5,18.6436023712158,20,104,34.8630699521845,0.817285052363563,281
1490.25537109375,1713,32,58,15,17.974048614502,42,81,34.4922366194446,0.815201719033563,314
1687.25244140625,1936,42,59,31,18.1607551574707,27,79,34.6047366192646,0.815201719033563,315
1350.72253417969,1686,18,60,6,18.5912380218506,19,104,34.8109866189345,0.815201719033563,303
1116.38354492188,1390,11,57,5,17.7800159454346,19,96,34.4151532862347,0.808951719043563,225
1669.01013183594,1729,23,59,6,18.4314804077148,35,94,34.6964032857845,0.808951719043563,248
1669.01013183594,1729,23,59,6,18.4314804077148,35,94,34.6984866191145,0.808951719043563,240
1270.46459960938,1705,21,60,5,18.6329784393311,16,105,34.8401532855545,0.808951719043563,290
1547.69458007812,1776,14,59,3,18.6316833496094,7,103,34.8734866188344,0.808951719043563,253
1141.20227050781,1374,12,60,6,17.7467784881592,16,100,34.4068199529147,0.806868385713563,219
1567.46130371094,1711,21,59,1,18.4432048797607,28,99,34.7068199524345,0.806868385713563,243
1298.23864746094,1677,20,60,6,18.5809669494629,16,105,34.8109866189345,0.806868385713563,293
1425.62573242188,1683,20,58,3,17.9721145629883,26,91,34.4964032861046,0.804785052383563,245
1333.67614746094,1685,19,59,3,18.5235481262207,22,106,34.7651532856745,0.804785052383563,247
1415.41247558594,1706,17,60,5,18.5754585266113,12,108,34.8026532856145,0.800618385723563,222
1176.4755859375,1408,13,58,6,17.7226219177246,16,105,34.4193199528947,0.798535052393563,218
1328.28466796875,1550,17,60,5,17.8292121887207,16,88,34.4714032861446,0.798535052393563,221
1374.94616699219,1693,15,60,2,18.6391201019287,16,102,34.8547366188645,0.798535052393563,211
1166.97021484375,1688,21,60,5,18.7011127471924,14,102,34.9234866187544,0.798535052393563,330
1437.62951660156,1656,26,57,6,18.2265338897705,37,90,34.6172366192446,0.796451719063563,207
1493.94396972656,1691,21,58,4,18.4119033813477,49,98,34.7005699524445,0.796451719063563,238
