"X","Y","k","annual_ppt","bareground","elevation","occ","ph20","slope","temp_annual_range","topo_pst_index","treecover","valley_depth","veg_index","wetness_index"
35.1068199517943,0.767285052443563,396,1156.0400390625,6,1848,16,58,5,18.6564846038818,21,4,1560,1475,106
34.5672366193246,0.765201719113563,217,1551.42517089844,0,1643,22,57,4,18.0472984313965,-116,35,3313,1498,89
34.9568199520344,0.765201719113563,237,1110.62438964844,4,1678,22,60,3,18.7122535705566,28,12,1686,1857,106
34.5943199526146,0.763118385783563,203,1808.19665527344,0,1761,34,57,27,18.125150680542,209,40,2056,1644,83
35.0839032851643,0.761035052453563,351,1090.13122558594,8,1799,21,58,11,18.7091217041016,7,4,1756,1410,100
34.7651532856745,0.758951719123563,160,1303.97692871094,2,1649,22,59,2,18.4668273925781,3,14,1540,1536,112
34.8464032855445,0.758951719123563,195,1175.49584960938,3,1645,15,60,3,18.5922393798828,-95,14,1598,1951,106
34.4964032861046,0.756868385793563,176,1196.06225585938,0,1494,13,59,5,17.7815380096436,-257,19,5086,1350,93
34.5859866192946,0.756868385793563,199,1639.26733398438,0,1621,19,57,3,18.0639476776123,-146,33,2916,1534,92
34.6276532858946,0.756868385793563,125,1583.25854492188,0,1608,15,58,1,18.1524658203125,79,37,3656,1351,113
34.8255699522445,0.756868385793563,235,1219.13012695312,1,1619,15,59,4,18.5452575683594,-129,25,1845,1434,106
34.4943199527746,0.754785052463563,180,1174.61462402344,1,1523,17,58,10,17.7555198669434,49,11,3969,1488,99
34.5776532859746,0.752701719133563,200,1609.86535644531,2,1627,19,58,2,18.0433578491211,-93,18,2817,1711,92
34.9547366187044,0.752701719133563,241,1076.47094726562,4,1646,23,60,3,18.7066955566406,-74,13,1934,1517,107
34.5214032860646,0.750618385803563,188,1418.18872070312,2,1611,20,56,14,17.9010696411133,-22,13,3781,1933,88
34.6172366192446,0.748535052473563,123,1653.57556152344,2,1600,17,59,2,18.1173992156982,-17,17,2561,1793,107
34.6234866192346,0.748535052473563,132,1617.09924316406,0,1594,18,58,2,18.1320819854736,20,28,3276,1531,111
34.7172366190845,0.746451719143563,124,1213.03356933594,1,1627,14,58,4,18.340482711792,57,19,1810,2811,103
34.8901532854744,0.746451719143563,232,1490.82397460938,1,1714,16,59,5,18.6438827514648,-76,21,1080,1769,101
34.4630699528246,0.744368385813563,208,1152.82336425781,1,1468,14,58,6,17.7124767303467,177,30,2016,2105,103
34.5318199527146,0.744368385813563,178,1720.38439941406,1,1704,19,57,9,17.9430732727051,301,22,1765,1619,87
34.7651532856745,0.744368385813563,182,1410.22155761719,0,1622,20,58,1,18.4464092254639,-104,22,1361,3281,112
34.6526532858546,0.742285052483563,124,1290.51538085938,0,1561,16,57,3,18.1642208099365,29,35,3880,1485,103
34.9318199520744,0.742285052483563,224,1221.73400878906,4,1659,20,61,5,18.6801509857178,14,12,1757,1348,100
34.4401532861947,0.740201719153563,210,1248.08520507812,0,1391,12,60,5,17.658935546875,-65,17,2259,1836,107
34.7422366190445,0.740201719153563,130,1395.47668457031,3,1670,17,58,6,18.3976249694824,77,12,1021,2018,105
34.7464032857045,0.740201719153563,154,1531.01489257812,1,1678,20,58,3,18.420482635498,47,28,980,1677,111
34.4589032861646,0.738118385823563,203,1145.07885742188,2,1380,10,58,3,17.6974277496338,-163,15,2616,2554,99
34.4984866194346,0.738118385823563,185,1432.05871582031,2,1626,16,57,9,17.780834197998,318,18,2694,1853,91
34.7964032856245,0.738118385823563,185,1321.85388183594,0,1605,19,59,5,18.4862823486328,-148,22,1371,2044,111
34.9755699520044,0.738118385823563,244,1334.12341308594,1,1705,22,61,4,18.706880569458,-60,23,1368,1865,94
34.8651532855145,0.736035052493563,216,1262.23449707031,7,1683,16,60,4,18.6050682067871,-2,10,1355,2105,103
34.6026532859346,0.731868385833563,117,1586.49487304688,1,1572,16,57,3,18.0308494567871,-48,25,955,1532,105
34.7651532856745,0.731868385833563,184,1595.61511230469,1,1669,18,58,4,18.4416732788086,32,20,669,1704,116
34.8068199522745,0.731868385833563,220,1340.509765625,2,1601,18,61,3,18.492712020874,-106,25,1563,1724,109
34.4380699528647,0.729785052503563,184,1186.75805664062,3,1376,9,61,3,17.6488304138184,-37,11,2482,1982,106
34.8839032854844,0.729785052503563,220,1475.62158203125,2,1720,16,60,4,18.6270999908447,70,18,1147,1336,101
34.4422366195247,0.725618385843563,218,1186.75805664062,3,1376,9,61,3,17.6488304138184,-37,11,2482,1982,106
34.8443199522145,0.725618385843563,213,1164.65222167969,2,1640,14,60,4,18.5479793548584,71,16,1441,2536,109
34.5609866193346,0.721451719183563,168,1350.43713378906,0,1526,14,58,4,17.8779602050781,-204,33,1388,1941,92
35.0526532852144,0.721451719183563,302,1181.39318847656,0,1856,33,59,7,18.6496391296387,158,58,1010,1345,99
34.5339032860446,0.719368385853563,170,1378.31994628906,2,1519,13,58,4,17.7961082458496,-161,12,2054,1433,90
34.7401532857145,0.719368385853563,179,1264.13598632812,1,1627,15,58,4,18.3656234741211,-23,19,980,1905,108
34.6776532858145,0.717285052523563,118,1183.52954101562,1,1507,16,57,4,18.1686534881592,-88,32,2988,1848,110
34.6839032858045,0.717285052523563,132,1136.697265625,1,1508,16,58,4,18.1892433166504,-102,20,2861,1702,106
34.5755699526446,0.715201719193563,119,1641.59350585938,2,1618,16,58,3,17.9428882598877,173,19,456,1831,101
34.8901532854744,0.715201719193563,228,1391.29467773438,3,1680,13,59,3,18.6170349121094,-36,9,1444,1968,99
34.7630699523445,0.713118385863563,168,1588.50183105469,1,1661,17,58,2,18.4216194152832,-53,27,484,1337,118
34.5901532859546,0.711035052533563,121,1668.54418945312,0,1577,15,59,2,17.9752368927002,-7,11,788,1564,106
34.4547366195047,0.708951719203563,195,1190.91711425781,0,1373,15,56,3,17.6393089294434,-99,21,3024,1671,108
34.6714032858245,0.708951719203563,116,1256.80969238281,3,1502,16,57,3,18.1568641662598,-59,15,2781,1767,110
35.0484866185544,0.708951719203563,279,1188.83435058594,0,1855,26,59,3,18.6405811309814,54,82,612,1664,105
34.5193199527346,0.706868385873563,160,1275.0830078125,2,1493,11,59,5,17.7126960754395,42,11,2771,1501,99
34.7880699523045,0.706868385873563,215,1601.40588378906,3,1670,18,58,1,18.4547290802002,41,16,204,2782,115
34.8734866188344,0.702701719213564,215,1349.63269042969,3,1681,14,60,4,18.5865535736084,88,11,1285,1975,104
34.9255699520844,0.702701719213564,234,1121.61975097656,2,1638,21,61,4,18.6429004669189,22,14,2015,1509,101
34.7214032857445,0.700618385883564,158,1214.68603515625,2,1638,15,57,7,18.295316696167,235,9,733,1842,99
34.8359866188945,0.700618385883564,178,1158.2216796875,1,1579,14,60,4,18.4989185333252,-121,22,1937,1705,107
34.6380699525446,0.698535052553564,117,1520.59143066406,1,1536,18,59,2,18.0545406341553,-42,16,2151,1743,115
34.4839032861246,0.694368385893564,198,1189.20837402344,2,1393,9,59,3,17.6586971282959,-92,9,3253,1477,101
34.5130699527446,0.694368385893564,170,1203.0947265625,2,1490,13,59,6,17.7048053741455,164,9,2486,1538,100
34.8984866187944,0.694368385893564,194,1174.4716796875,1,1627,18,61,4,18.6035499572754,-78,22,2013,1646,102
35.0630699518644,0.692285052563564,383,1250.0498046875,3,1883,18,58,2,18.620189666748,-38,6,858,1597,115
34.5693199526546,0.690201719233564,144,1493.86975097656,0,1541,19,57,2,17.8372135162354,-72,17,1552,1753,105
34.7464032857045,0.690201719233564,165,1524.81921386719,5,1668,20,57,4,18.3562660217285,149,15,311,1679,117
34.8297366189045,0.690201719233564,187,1199.98046875,1,1589,15,60,4,18.4805946350098,-54,31,1797,1761,106
34.8839032854844,0.688118385903564,206,1192.64807128906,2,1636,19,61,4,18.571849822998,14,14,1772,1532,102
34.7922366189645,0.686035052573564,161,1501.72680664062,1,1639,18,58,3,18.425464630127,-27,19,559,2085,108
34.4401532861947,0.683951719243564,180,1157.01403808594,0,1339,12,56,3,17.562593460083,-46,20,2650,1995,110
34.6297366192246,0.681868385913564,123,1583.81213378906,2,1560,18,57,2,18.0070781707764,116,15,1170,2033,112
34.8089032856045,0.681868385913564,159,1563.49389648438,3,1643,15,58,1,18.4472827911377,58,20,726,1641,112
35.0609866185344,0.681868385913564,405,1251.41088867188,3,1879,20,58,3,18.6205596923828,30,14,594,1469,117
34.4568199528346,0.679785052583564,173,1170.11730957031,0,1345,11,57,2,17.5761451721191,-82,26,2898,2008,111
34.6130699525846,0.679785052583564,126,1512.23852539062,2,1528,18,57,4,17.9536724090576,1,15,1539,1941,112
