"elevation","occ","ph20","slope","wetness_index","X","Y","mg"
1678,20,58,3,111,34.7505699523645,0.740201719153563,195
1610,16,59,4,113,34.7818199523145,0.738118385823563,260
1631,19,61,1,103,34.9297366187444,0.738118385823563,339
1474,15,58,5,95,34.4797366194646,0.736035052493563,240
1680,18,58,7,100,35.0234866185944,0.736035052493563,326
1577,15,60,5,113,34.6297366192246,0.733951719163563,164
1670,17,58,6,105,34.7380699523845,0.733951719163563,228
1624,15,60,3,110,34.8151532855945,0.733951719163563,239
1738,14,59,2,108,34.9026532854544,0.733951719163563,258
1712,22,60,6,93,34.9797366186644,0.733951719163563,306
1737,17,59,3,102,35.0276532852544,0.731868385833563,346
1640,12,58,3,109,34.8297366189045,0.729785052503563,212
1640,18,57,4,112,34.7797366189845,0.727701719173563,219
1664,19,59,3,102,34.9422366187244,0.727701719173563,294
1865,22,59,6,102,35.0734866185144,0.725618385843563,306
1702,21,60,6,95,34.9526532853744,0.723535052513563,323
1536,16,58,5,114,34.6609866191746,0.721451719183563,259
1670,22,59,3,118,34.7776532856545,0.721451719183563,218
1656,21,59,4,111,34.7984866189545,0.721451719183563,190
1856,33,59,7,99,35.0464032852244,0.721451719183563,293
1884,23,61,2,107,35.0547366185444,0.721451719183563,315
1365,17,60,1,101,34.4484866195147,0.719368385853563,373
1814,27,61,10,95,34.9901532853144,0.719368385853563,315
1567,17,57,3,117,34.6255699525646,0.715201719193563,167
1490,14,58,6,94,34.5318199527146,0.713118385863563,221
1577,15,59,2,106,34.5943199526146,0.713118385863563,199
1781,29,60,11,96,34.9693199520144,0.713118385863563,311
1677,20,60,5,102,34.9172366187644,0.706868385873563,259
1503,14,58,11,94,34.5547366193446,0.702701719213564,209
1654,18,58,4,111,34.7984866189545,0.702701719213564,215
1837,22,59,3,105,34.9964032853044,0.702701719213564,338
1387,13,56,3,108,34.4193199528947,0.700618385883564,276
1896,20,57,2,116,35.0672366185244,0.700618385883564,322
1455,13,59,5,96,34.5443199526946,0.698535052553564,219
1585,15,59,3,107,34.8255699522445,0.696451719223564,245
1540,18,58,3,113,34.6339032858846,0.694368385893564,206
1455,13,59,5,96,34.5380699527046,0.692285052563564,191
1497,14,58,7,95,34.5526532860146,0.692285052563564,204
1626,19,58,2,106,34.8130699522645,0.690201719233564,181
1638,14,60,2,108,34.8464032855445,0.690201719233564,267
1396,9,59,3,113,34.4755699528046,0.686035052573564,307
1560,18,57,3,109,34.5922366192846,0.686035052573564,218
1506,17,58,3,112,34.6672366191645,0.683951719243564,308
1853,22,59,7,108,35.0047366186244,0.681868385913564,391
1554,15,60,3,100,34.5380699527046,0.679785052583564,222
1632,15,58,3,111,34.7797366189845,0.679785052583564,192
1643,15,58,1,112,34.8109866189345,0.679785052583564,211
1568,16,60,3,105,34.5464032860246,0.677701719253564,207
1550,18,59,4,101,34.5547366193446,0.677701719253564,210
1586,17,56,3,119,34.5797366193046,0.677701719253564,212
1560,18,57,2,112,34.6339032858846,0.677701719253564,169
1597,16,60,4,104,34.8380699522245,0.675618385923564,272
1597,16,60,4,104,34.8401532855545,0.675618385923564,279
1593,15,61,3,104,34.8818199521544,0.675618385923564,272
1649,19,57,4,106,34.7547366190245,0.673535052593564,207
1537,17,58,4,102,34.5630699526646,0.671451719263564,214
1525,18,58,4,108,34.6109866192546,0.671451719263564,181
1637,14,58,2,108,34.8109866189345,0.669368385933564,224
