"X","Y","mg","annual_ppt","bareground","elevation","occ","ph20","slope","temp_annual_range","topo_pst_index","treecover","valley_depth","veg_index","wetness_index"
34.5776532859746,1.10686838523357,401,1660.96826171875,1,4083,127,60,28,17.3284225463867,-113,50,-1145,1915,69
34.6359866192146,1.07561838528357,358,1933.00756835938,0,3318,52,62,12,17.5900192260742,-282,29,-2486,1718,74
34.6234866192346,1.02561838536356,333,1958.04992675781,5,3273,30,61,8,17.5800819396973,244,15,-38,1890,80
34.5005699527646,1.01728505204356,335,1539.50573730469,0,3186,36,55,9,17.4819297790527,60,95,4952,1287,83
34.6089032859246,1.01728505204356,363,1899.77014160156,1,3204,26,60,8,17.5692043304443,120,26,1146,2053,85
34.6234866192346,1.00686838539356,269,1964.42456054688,1,3083,33,58,9,17.5693035125732,132,31,1181,1507,93
34.6630699525046,1.00686838539356,254,2070.24780273438,0,2987,42,57,10,17.5887031555176,238,34,-223,1514,80
34.6818199524745,1.00478505206356,257,2092.78979492188,0,2836,34,54,17,17.5647430419922,82,60,-1673,1500,77
34.5089032860846,1.00061838540356,365,1527.00805664062,0,3008,32,54,8,17.456579208374,0,48,5088,2057,81
34.6089032859246,1.00061838540356,277,1922.4462890625,0,3080,25,58,9,17.5614948272705,-14,60,1752,1383,88
34.5505699526846,0.994368385413562,309,1789.71801757812,3,3217,31,58,7,17.5053424835205,353,21,563,1843,81
34.6443199525346,0.994368385413562,266,2008.45642089844,0,2926,26,56,17,17.5515098571777,7,95,1260,1814,84
34.5797366193046,0.990201718753562,347,1902.97509765625,0,2982,31,56,14,17.502571105957,-439,64,1563,1928,80
34.5984866192746,0.988118385423562,295,1932.92248535156,0,3017,31,56,8,17.52197265625,162,84,1394,1641,90
34.6964032857845,0.988118385423562,243,2099.23217773438,0,2661,51,56,9,17.5403327941895,-73,50,-1797,1480,90
34.5922366192846,0.983951718763562,278,1899.40026855469,0,3040,27,57,2,17.5147380828857,110,30,1199,1769,85
34.5130699527446,0.981868385433562,372,1517.79431152344,0,2928,55,54,8,17.3871002197266,160,89,3898,1277,85
34.6859866191345,0.981868385433562,242,2074.43090820312,0,2753,31,55,13,17.5291576385498,-129,93,-1410,1386,90
34.6922366191245,0.981868385433562,241,2089.33081054688,0,2721,41,54,9,17.5371723175049,113,48,-2067,1440,97
34.5214032860646,0.977701718773562,353,1583.14086914062,0,2943,55,55,14,17.415922164917,-17,95,3386,1160,81
34.5339032860446,0.975618385443562,370,1646.01477050781,0,3008,41,54,10,17.4412879943848,160,39,2239,1156,83
34.6672366191645,0.963118385463563,269,2105.64428710938,0,2770,29,55,7,17.5205154418945,-10,96,-1449,1839,93
34.6797366191445,0.963118385463563,281,2093.62622070312,0,2674,38,53,20,17.5172595977783,43,95,-1436,1372,92
34.6943199524545,0.961035052133563,244,2079.080078125,0,2603,45,56,16,17.5125045776367,-389,67,-1727,1504,92
34.5880699526246,0.954785052143563,307,1680.62963867188,0,2726,38,53,15,17.428035736084,-460,83,2078,1468,82
34.6297366192246,0.954785052143563,241,1972.11437988281,0,2891,34,54,2,17.4937057495117,322,54,-1001,1584,93
34.6526532858546,0.952701718813563,280,2091.7001953125,0,2850,36,53,9,17.5051403045654,142,97,-1402,1696,87
34.6797366191445,0.950618385483563,270,2115.77807617188,0,2646,30,55,3,17.5151500701904,-142,90,-1707,1422,93
34.5401532860346,0.944368385493563,385,1674.17565917969,0,2710,40,52,20,17.3395462036133,-98,97,3758,1103,85
34.5109866194146,0.942285052163563,377,1703.10693359375,0,2695,44,51,4,17.2915363311768,91,77,5087,1886,92
34.5943199526146,0.940201718833563,300,1728.67858886719,0,2726,44,52,19,17.3961086273193,24,78,1659,1201,83
34.4984866194346,0.936035052173563,379,1681.9873046875,0,2646,50,52,15,17.2497444152832,162,94,5074,2322,89
34.4880699527846,0.929785052183563,369,1628.84973144531,0,2536,46,51,20,17.2020835876465,262,96,5156,2138,91
34.6297366192246,0.929785052183563,310,1936.64123535156,0,2755,46,53,25,17.4417400360107,518,76,-1594,1790,79
34.6776532858145,0.927701718853563,290,1976.64636230469,0,2512,39,54,26,17.4582004547119,-380,97,-614,1230,78
34.5318199527146,0.925618385523563,341,1651.00122070312,0,2549,45,52,30,17.2736110687256,-374,97,5426,1323,85
34.7047366191045,0.921451718863563,298,2027.4892578125,0,2482,30,54,18,17.4814605712891,179,68,-1298,1155,88
34.6880699524645,0.919368385533563,275,1973.79943847656,0,2436,40,54,13,17.456693649292,-236,62,-367,1799,84
34.6568199525146,0.913118385543563,327,1949.12414550781,0,2364,34,53,14,17.4165744781494,-355,98,732,1992,81
34.7130699524245,0.913118385543563,312,2021.41931152344,0,2453,25,54,12,17.4879512786865,252,97,22,1210,89
34.6901532857945,0.906868385553563,342,1854.23950195312,0,2357,25,54,14,17.4986228942871,142,82,464,1877,83
34.5672366193246,0.904785052223563,289,1756.68444824219,0,2412,31,55,11,17.2733707427979,-11,95,2645,1644,92
34.6818199524745,0.902701718893563,331,1828.21423339844,0,2451,28,53,12,17.4867839813232,562,98,-618,1725,84
34.5026532860946,0.890201718913563,351,1840.02038574219,0,2366,35,52,10,17.2433662414551,3,98,4946,2105,96
34.5297366193846,0.888118385583563,378,1877.83276367188,0,2449,40,57,4,17.2190036773682,142,87,2703,1580,83
34.5339032860446,0.888118385583563,374,1877.83276367188,0,2449,40,57,4,17.2190036773682,142,87,2703,1580,83
34.6443199525346,0.881868385593563,325,1757.69702148438,0,2267,30,55,6,17.5810317993164,-40,98,1202,2175,85
34.4734866194746,0.873535052273563,293,1649.29345703125,0,2229,30,54,20,17.3913536071777,-82,99,6269,1493,87
35.0068199519544,0.873535052273563,302,1348.87390136719,8,1809,25,61,5,18.6683654785156,100,11,987,1205,109
34.5255699527246,0.869368385613563,312,1658.4990234375,0,2283,39,57,15,17.434139251709,-131,47,3653,2270,84
34.5568199526746,0.865201718953563,298,1882.826171875,0,2241,40,58,4,17.5010604858398,-2,27,1618,1517,95
34.7422366190445,0.865201718953563,389,1852.2646484375,3,2012,29,59,9,18.1990222930908,-14,23,1895,1740,87
34.4964032861046,0.863118385623563,238,1873.00939941406,0,2300,27,53,14,17.3803997039795,-13,97,4264,2133,91
34.5693199526546,0.858951718963563,295,1823.55651855469,1,2233,36,58,7,17.5309009552002,-8,17,1443,1659,97
35.0401532852344,0.856868385633563,317,1182.22509765625,1,1783,21,59,3,18.683988571167,-100,21,1229,1330,103
35.1109866184543,0.852701718973563,321,1149.20971679688,4,1823,21,57,16,18.6482219696045,-91,12,884,1953,100
34.7255699524045,0.850618385643563,384,1772.01940917969,4,1975,30,60,8,18.2294483184814,25,15,2579,1429,90
35.0214032852644,0.850618385643563,290,1198.02905273438,3,1767,21,60,2,18.7010402679443,-113,12,1432,1429,104
35.1109866184543,0.850618385643563,316,1149.20971679688,4,1823,21,57,16,18.6482219696045,-91,12,884,1953,100
34.5026532860946,0.846451718983563,274,1823.72717285156,0,2244,31,55,11,17.5092506408691,433,98,3233,1530,81
34.7818199523145,0.846451718983563,376,1401.28698730469,3,1729,19,60,5,18.5794639587402,-236,25,2872,1411,95
35.0193199519344,0.838118385663563,280,1348.70080566406,3,1803,23,62,3,18.6729736328125,72,17,968,1216,103
34.4297366195447,0.833951719003563,332,1156.05603027344,1,1531,16,57,12,17.8236408233643,52,18,9612,1675,96
34.8068199522745,0.833951719003563,381,1323.87158203125,2,1682,19,59,3,18.61301612854,-173,18,2553,1276,97
35.0234866185944,0.833951719003563,330,1230.74584960938,1,1771,20,60,4,18.6995697021484,-51,21,1304,1193,103
35.0839032851643,0.833951719003563,289,1305.20690917969,3,1863,18,57,3,18.6189250946045,49,14,617,2201,108
34.7964032856245,0.829785052343563,310,1468.12060546875,2,1720,18,59,5,18.6012592315674,80,19,2165,2770,106
35.0380699519044,0.829785052343563,299,1160.29870605469,5,1794,17,59,2,18.6956958770752,37,10,1123,1821,106
34.4443199528547,0.827701719013563,371,1157.08703613281,1,1524,18,57,5,17.8203430175781,-11,21,8282,1717,94
34.4568199528346,0.825618385683563,367,1257.79028320312,1,1643,31,57,9,17.8988742828369,-29,27,7312,1270,85
35.0047366186244,0.825618385683563,288,1328.36499023438,11,1804,22,61,2,18.6808605194092,49,6,836,1127,102
35.0255699519244,0.825618385683563,301,1219.888671875,4,1765,20,60,1,18.7043724060059,-75,13,1383,1453,106
34.8047366189445,0.823535052353563,329,1371.38806152344,1,1686,18,60,4,18.599235534668,-41,20,2217,2262,104
34.8630699521845,0.823535052353563,303,1439.66674804688,1,1739,17,59,5,18.6436023712158,-74,20,667,2467,104
34.4464032861847,0.821451719023563,323,1183.96887207031,1,1558,17,59,6,17.8255252838135,71,17,6001,2016,90
35.1401532850743,0.819368385693563,282,1112.01159667969,6,1855,22,61,4,18.6390933990479,50,9,1002,1392,111
34.7172366190845,0.817285052363563,382,1560.35229492188,3,1693,22,58,6,18.4667682647705,-330,23,4202,1591,95
34.7797366189845,0.817285052363563,314,1324.37133789062,3,1696,18,59,3,18.56764793396,-36,16,2768,1815,107
34.8901532854744,0.817285052363563,234,1522.1259765625,0,1736,16,59,4,18.6745777130127,-98,40,791,1610,103
34.8943199521344,0.817285052363563,254,1522.1259765625,0,1736,16,59,4,18.6745777130127,-98,40,791,1610,103
34.7464032857045,0.808951719043563,301,1486.341796875,2,1697,21,58,4,18.5146789550781,6,19,3098,1946,106
34.8651532855145,0.802701719053563,222,1427.70336914062,6,1735,16,60,4,18.6516418457031,-16,8,661,1480,103
35.0380699519044,0.800618385723563,284,1273.82446289062,6,1776,19,60,3,18.698543548584,-38,10,1237,1232,107
34.7339032857245,0.798535052393563,281,1469.97595214844,3,1708,20,58,4,18.4686489105225,57,19,2623,2143,106
35.0734866185144,0.796451719063563,303,1131.90710449219,5,1780,16,58,2,18.7148056030273,-28,9,1472,1328,108
34.9797366186644,0.794368385733563,313,1147.38146972656,3,1708,20,60,2,18.7411041259766,-115,22,1559,1450,103
34.4255699528847,0.792285052403563,271,1173.33557128906,4,1438,13,59,4,17.7329883575439,64,13,1840,1750,106
34.4922366194446,0.792285052403563,299,1376.60217285156,3,1627,20,58,5,17.9064598083496,99,11,5142,1698,99
34.5214032860646,0.792285052403563,328,1249.04858398438,2,1626,24,57,4,18.0037899017334,-107,22,6195,2208,91
35.0359866185744,0.792285052403563,292,1389.21862792969,3,1800,18,59,4,18.6715774536133,1,12,1102,1071,107
35.0839032851643,0.792285052403563,345,1137.61901855469,3,1804,15,58,3,18.7043304443359,70,14,1374,1736,111
34.8693199521745,0.788118385743563,225,1313.70983886719,4,1702,18,61,4,18.6420230865479,-12,9,864,1454,101
35.0943199518143,0.788118385743563,317,1109.58959960938,3,1771,17,62,4,18.71435546875,-106,16,1942,1466,110
35.0505699518844,0.783951719083563,253,1375.47216796875,11,1808,16,60,6,18.6787738800049,103,8,1135,1459,106
35.0172366186044,0.781868385753563,231,1287.37915039062,3,1820,22,58,4,18.6763305664062,213,14,670,1514,106
35.0964032851443,0.779785052423563,308,1119.21228027344,9,1810,15,58,3,18.6910552978516,4,4,1710,1596,109
34.5172366194046,0.775618385763563,286,1248.42077636719,0,1627,17,58,5,17.9260234832764,129,20,5192,1486,98
34.9672366186844,0.775618385763563,270,1160.55920410156,12,1710,15,58,2,18.7277050018311,25,1,1444,1571,106
35.1234866184343,0.773535052433563,343,1178.91284179688,4,1862,22,60,4,18.6383476257324,31,11,1586,2056,104
35.0859866184943,0.771451719103563,287,1100.1279296875,5,1797,18,58,3,18.7063636779785,39,11,1714,2005,105
34.7339032857245,0.769368385773563,291,1525.68627929688,4,1671,19,58,5,18.4341278076172,-5,15,2284,2167,109
34.9984866186344,0.769368385773563,255,1147.82434082031,4,1738,14,57,4,18.7374458312988,30,12,1065,1663,99
35.0026532852944,0.769368385773563,276,1147.82434082031,4,1738,14,57,4,18.7374458312988,30,12,1065,1663,99
34.7318199523945,0.767285052443563,296,1525.68627929688,4,1671,19,58,5,18.4341278076172,-5,15,2284,2167,109
35.1380699517443,0.767285052443563,366,1164.03540039062,8,1869,19,58,1,18.6301612854004,-26,4,1574,2235,113
34.5255699527246,0.763118385783563,229,1283.95007324219,0,1635,20,56,8,17.9127235412598,163,15,4060,1746,91
34.5609866193346,0.763118385783563,324,1601.84558105469,1,1645,22,57,4,18.0362567901611,-4,23,3322,1635,96
34.4984866194346,0.761035052453563,246,1178.66235351562,1,1561,15,58,7,17.8034191131592,142,16,4878,1988,99
34.6026532859346,0.761035052453563,277,1797.73388671875,0,1675,25,56,7,18.1443195343018,87,31,3044,1573,91
34.7380699523845,0.761035052453563,294,1541.10546875,2,1660,20,59,4,18.4367084503174,-55,18,2011,2404,111
34.9547366187044,0.761035052453563,283,1110.62438964844,4,1678,22,60,3,18.7122535705566,28,12,1686,1857,106
34.4609866194946,0.758951719123563,304,1279.95849609375,0,1473,15,60,6,17.7150077819824,106,25,983,1863,103
34.9422366187244,0.756868385793563,291,1119.25891113281,2,1640,22,62,4,18.6910095214844,-105,21,2094,2038,107
35.0693199518544,0.756868385793563,304,1105.6376953125,7,1759,20,59,8,18.7242107391357,-36,5,2104,1452,104
34.4922366194446,0.754785052463563,271,1174.61462402344,1,1523,17,58,10,17.7555198669434,49,11,3969,1488,99
34.7818199523145,0.754785052463563,211,1342.49816894531,2,1663,22,59,4,18.4878082275391,42,17,736,2093,109
35.1318199517543,0.752701719133563,383,1252.90515136719,6,1918,20,58,2,18.6015949249268,70,6,1296,1370,117
34.5318199527146,0.750618385803563,268,1632.89990234375,1,1652,20,56,20,17.9623413085938,45,16,3159,1887,85
34.6026532859346,0.750618385803563,239,1716.79870605469,1,1642,19,57,6,18.1119766235352,19,31,2492,1848,95
34.6193199525746,0.750618385803563,217,1660.83166503906,0,1626,17,58,2,18.1410846710205,87,35,3278,1411,108
34.5380699527046,0.748535052473563,243,1739.95703125,1,1654,18,56,7,17.9562435150146,65,8,2042,1564,88
34.8234866189145,0.748535052473563,256,1201.4306640625,1,1610,15,59,5,18.5350646972656,-116,33,1843,1693,108
34.8318199522345,0.746451719143563,250,1170.79870605469,5,1631,15,60,4,18.5490741729736,3,12,1541,1710,109
34.4422366195247,0.744368385813563,305,1307.38818359375,1,1413,13,60,7,17.6658630371094,-43,21,1874,1592,104
35.0339032852444,0.744368385813563,318,1032.97692871094,5,1676,18,57,5,18.7584457397461,-219,13,2063,1209,99
34.8068199522745,0.742285052483563,192,1335.70397949219,2,1649,19,59,2,18.5152111053467,40,21,1241,2103,112
34.8443199522145,0.742285052483563,242,1164.09765625,1,1620,14,60,2,18.563419342041,-118,29,1707,2496,107
34.9651532853544,0.742285052483563,314,1145.70324707031,3,1648,22,61,5,18.7120361328125,-153,16,2062,1535,100
35.0172366186044,0.742285052483563,302,1037.8662109375,1,1680,18,59,4,18.7496185302734,-88,18,1850,1533,101
34.5943199526146,0.740201719153563,297,1644.279296875,0,1586,15,56,3,18.0373401641846,-77,30,1563,1320,100
34.7505699523645,0.740201719153563,195,1531.01489257812,1,1678,20,58,3,18.420482635498,47,28,980,1677,111
34.7818199523145,0.738118385823563,260,1376.15063476562,0,1610,16,59,4,18.4624423980713,-113,37,1098,2057,113
34.9297366187444,0.738118385823563,339,1142.90393066406,2,1631,19,61,1,18.6731834411621,-119,15,2058,1310,103
34.4797366194646,0.736035052493563,240,1238.46643066406,2,1474,15,58,5,17.7085762023926,-89,16,3274,1629,95
35.0234866185944,0.736035052493563,326,1054.52124023438,3,1680,18,58,7,18.7516326904297,-74,14,1974,1486,100
34.6297366192246,0.733951719163563,164,1560.61511230469,1,1577,15,60,5,18.1276741027832,78,20,3327,2594,113
34.7380699523845,0.733951719163563,228,1395.47668457031,3,1670,17,58,6,18.3976249694824,77,12,1021,2018,105
34.8151532855945,0.733951719163563,239,1236.12939453125,1,1624,15,60,3,18.5140743255615,38,21,1453,1772,110
34.9026532854544,0.733951719163563,258,1583.81396484375,1,1738,14,59,2,18.645975112915,62,22,958,1223,108
34.9797366186644,0.733951719163563,306,1351.73413085938,2,1712,22,60,6,18.710786819458,-2,19,1334,1632,93
35.0276532852544,0.731868385833563,346,1076.71813964844,2,1737,17,59,3,18.7459812164307,97,11,1486,1421,102
34.8297366189045,0.729785052503563,212,1168.5556640625,4,1640,12,58,3,18.5330772399902,102,9,1458,1741,109
34.7797366189845,0.727701719173563,219,1509.98999023438,1,1640,18,57,4,18.4621315002441,-51,30,915,2016,112
34.9422366187244,0.727701719173563,294,1103.55102539062,4,1664,19,59,3,18.6803665161133,-8,10,1880,1439,102
35.0734866185144,0.725618385843563,306,1251.71569824219,5,1865,22,59,6,18.641393661499,56,11,1251,2189,102
34.9526532853744,0.723535052513563,323,1143.0078125,2,1702,21,60,6,18.6816215515137,11,14,1578,1445,95
34.6609866191746,0.721451719183563,259,1381.28186035156,0,1536,16,58,5,18.1395244598389,46,18,3229,1979,114
34.7776532856545,0.721451719183563,218,1614.96643066406,0,1670,22,59,3,18.4482345581055,40,52,484,1540,118
34.7984866189545,0.721451719183563,190,1556.18322753906,2,1656,21,59,4,18.4844665527344,90,18,866,1735,111
35.0464032852244,0.721451719183563,293,1181.39318847656,0,1856,33,59,7,18.6496391296387,158,58,1010,1345,99
35.0547366185444,0.721451719183563,315,1284.62145996094,4,1884,23,61,2,18.6216678619385,136,13,537,1460,107
34.4484866195147,0.719368385853563,373,1129.13696289062,0,1365,17,60,1,17.6499900817871,-44,34,2904,1796,101
34.9901532853144,0.719368385853563,315,1507.12719726562,4,1814,27,61,10,18.6454582214355,225,12,47,1439,95
34.6255699525646,0.715201719193563,167,1590.97277832031,0,1567,17,57,3,18.0564098358154,17,29,1879,2054,117
34.5318199527146,0.713118385863563,221,1263.478515625,1,1490,14,58,6,17.7742366790771,-130,20,2402,1556,94
34.5943199526146,0.713118385863563,199,1668.54418945312,0,1577,15,59,2,17.9752368927002,-7,11,788,1564,106
34.9693199520144,0.713118385863563,311,1304.8681640625,1,1781,29,60,11,18.6428909301758,-64,19,750,2326,96
34.9172366187644,0.706868385873563,259,1213.58862304688,4,1677,20,60,5,18.6371040344238,165,11,1504,2027,102
34.5547366193446,0.702701719213564,209,1287.9267578125,2,1503,14,58,11,17.8344898223877,-192,13,2028,1416,94
34.7984866189545,0.702701719213564,215,1624.15881347656,2,1654,18,58,4,18.4671764373779,15,24,572,2017,111
34.9964032853044,0.702701719213564,338,1451.966796875,7,1837,22,59,3,18.617546081543,68,8,-12,1623,105
34.4193199528947,0.700618385883564,276,1507.64416503906,1,1387,13,56,3,17.5136241912842,-13,17,1659,3002,108
35.0672366185244,0.700618385883564,322,1283.85498046875,10,1896,20,57,2,18.6155319213867,70,5,528,1364,116
34.5443199526946,0.698535052553564,219,1193.80407714844,1,1455,13,59,5,17.7680149078369,-179,19,2658,1583,96
34.8255699522445,0.696451719223564,245,1299.83312988281,2,1585,15,59,3,18.4792976379395,-69,17,1636,1939,107
34.6339032858846,0.694368385893564,206,1557.60229492188,0,1540,18,58,3,18.0376586914062,-21,19,1983,2413,113
34.5380699527046,0.692285052563564,191,1193.80407714844,1,1455,13,59,5,17.7680149078369,-179,19,2658,1583,96
34.5526532860146,0.692285052563564,204,1263.99926757812,1,1497,14,58,7,17.7918853759766,-134,18,2316,1589,95
34.8130699522645,0.690201719233564,181,1519.34594726562,1,1626,19,58,2,18.4672603607178,44,33,1022,1884,106
34.8464032855445,0.690201719233564,267,1234.62756347656,4,1638,14,60,2,18.5200862884521,128,10,1580,1975,108
34.4755699528046,0.686035052573564,307,1183.08874511719,0,1396,9,59,3,17.6245441436768,52,28,2830,1670,113
34.5922366192846,0.686035052573564,218,1695.64599609375,4,1560,18,57,3,17.9169845581055,-6,13,1342,2303,109
34.6672366191645,0.683951719243564,308,1401.05932617188,1,1506,17,58,3,18.0936603546143,-98,14,2058,2045,112
35.0047366186244,0.681868385913564,391,1266.84289550781,10,1853,22,59,7,18.6152877807617,72,8,-233,1146,108
34.5380699527046,0.679785052583564,222,1407.02661132812,2,1554,15,60,3,17.7385406494141,135,12,1707,2387,100
34.7797366189845,0.679785052583564,192,1475.45239257812,0,1632,15,58,3,18.397087097168,41,39,436,1886,111
34.8109866189345,0.679785052583564,211,1563.49389648438,3,1643,15,58,1,18.4472827911377,58,20,726,1641,112
34.5464032860246,0.677701719253564,207,1461.82690429688,1,1568,16,60,3,17.7704315185547,172,14,1503,2375,105
34.5547366193446,0.677701719253564,210,1458.07556152344,3,1550,18,59,4,17.7912101745605,46,13,1598,2817,101
34.5797366193046,0.677701719253564,212,1733.60424804688,0,1586,17,56,3,17.8870410919189,131,25,1223,1996,119
