X,Y,mg
34.5776532859746,1.10686838523357,401.00000000
34.6359866192146,1.07561838528357,358.00000000
34.6234866192346,1.02561838536356,333.00000000
34.5005699527646,1.01728505204356,335.00000000
34.6089032859246,1.01728505204356,363.00000000
34.6234866192346,1.00686838539356,269.00000000
34.6630699525046,1.00686838539356,254.00000000
34.6818199524745,1.00478505206356,257.00000000
34.5089032860846,1.00061838540356,365.00000000
34.6089032859246,1.00061838540356,277.00000000
34.5505699526846,0.994368385413562,309.00000000
34.6443199525346,0.994368385413562,266.00000000
34.5797366193046,0.990201718753562,347.00000000
34.5984866192746,0.988118385423562,295.00000000
34.6964032857845,0.988118385423562,243.00000000
34.5922366192846,0.983951718763562,278.00000000
34.5130699527446,0.981868385433562,372.00000000
34.6859866191345,0.981868385433562,242.00000000
34.6922366191245,0.981868385433562,241.00000000
34.5214032860646,0.977701718773562,353.00000000
34.5339032860446,0.975618385443562,370.00000000
34.6672366191645,0.963118385463563,269.00000000
34.6797366191445,0.963118385463563,281.00000000
34.6943199524545,0.961035052133563,244.00000000
34.5880699526246,0.954785052143563,307.00000000
34.6297366192246,0.954785052143563,241.00000000
34.6526532858546,0.952701718813563,280.00000000
34.6797366191445,0.950618385483563,270.00000000
34.5401532860346,0.944368385493563,385.00000000
34.5109866194146,0.942285052163563,377.00000000
34.5943199526146,0.940201718833563,300.00000000
34.4984866194346,0.936035052173563,379.00000000
34.4880699527846,0.929785052183563,369.00000000
34.6297366192246,0.929785052183563,310.00000000
34.6776532858145,0.927701718853563,290.00000000
34.5318199527146,0.925618385523563,341.00000000
34.7047366191045,0.921451718863563,298.00000000
34.6880699524645,0.919368385533563,275.00000000
34.6568199525146,0.913118385543563,327.00000000
34.7130699524245,0.913118385543563,312.00000000
34.6901532857945,0.906868385553563,342.00000000
34.5672366193246,0.904785052223563,289.00000000
34.6818199524745,0.902701718893563,331.00000000
34.5026532860946,0.890201718913563,351.00000000
34.5297366193846,0.888118385583563,378.00000000
34.5339032860446,0.888118385583563,374.00000000
34.6443199525346,0.881868385593563,325.00000000
34.4734866194746,0.873535052273563,293.00000000
35.0068199519544,0.873535052273563,302.00000000
34.5255699527246,0.869368385613563,312.00000000
34.5568199526746,0.865201718953563,298.00000000
34.7422366190445,0.865201718953563,389.00000000
34.4964032861046,0.863118385623563,238.00000000
34.5693199526546,0.858951718963563,295.00000000
35.0401532852344,0.856868385633563,317.00000000
35.1109866184543,0.852701718973563,321.00000000
34.7255699524045,0.850618385643563,384.00000000
35.0214032852644,0.850618385643563,290.00000000
35.1109866184543,0.850618385643563,316.00000000
34.5026532860946,0.846451718983563,274.00000000
34.7818199523145,0.846451718983563,376.00000000
35.0193199519344,0.838118385663563,280.00000000
34.4297366195447,0.833951719003563,332.00000000
34.8068199522745,0.833951719003563,381.00000000
35.0234866185944,0.833951719003563,330.00000000
35.0839032851643,0.833951719003563,289.00000000
34.7964032856245,0.829785052343563,310.00000000
35.0380699519044,0.829785052343563,299.00000000
34.4443199528547,0.827701719013563,371.00000000
34.4568199528346,0.825618385683563,367.00000000
35.0047366186244,0.825618385683563,288.00000000
35.0255699519244,0.825618385683563,301.00000000
34.8047366189445,0.823535052353563,329.00000000
34.8630699521845,0.823535052353563,303.00000000
34.4464032861847,0.821451719023563,323.00000000
35.1401532850743,0.819368385693563,282.00000000
34.7172366190845,0.817285052363563,382.00000000
34.7797366189845,0.817285052363563,314.00000000
34.8901532854744,0.817285052363563,234.00000000
34.8943199521344,0.817285052363563,254.00000000
34.7464032857045,0.808951719043563,301.00000000
34.8651532855145,0.802701719053563,222.00000000
35.0380699519044,0.800618385723563,284.00000000
34.7339032857245,0.798535052393563,281.00000000
35.0734866185144,0.796451719063563,303.00000000
34.9797366186644,0.794368385733563,313.00000000
34.4255699528847,0.792285052403563,271.00000000
34.4922366194446,0.792285052403563,299.00000000
34.5214032860646,0.792285052403563,328.00000000
35.0359866185744,0.792285052403563,292.00000000
35.0839032851643,0.792285052403563,345.00000000
34.8693199521745,0.788118385743563,225.00000000
35.0943199518143,0.788118385743563,317.00000000
35.0505699518844,0.783951719083563,253.00000000
35.0172366186044,0.781868385753563,231.00000000
35.0964032851443,0.779785052423563,308.00000000
34.5172366194046,0.775618385763563,286.00000000
34.9672366186844,0.775618385763563,270.00000000
35.1234866184343,0.773535052433563,343.00000000
35.0859866184943,0.771451719103563,287.00000000
34.7339032857245,0.769368385773563,291.00000000
34.9984866186344,0.769368385773563,255.00000000
35.0026532852944,0.769368385773563,276.00000000
34.7318199523945,0.767285052443563,296.00000000
35.1380699517443,0.767285052443563,366.00000000
34.5255699527246,0.763118385783563,229.00000000
34.5609866193346,0.763118385783563,324.00000000
34.4984866194346,0.761035052453563,246.00000000
34.6026532859346,0.761035052453563,277.00000000
34.7380699523845,0.761035052453563,294.00000000
34.9547366187044,0.761035052453563,283.00000000
34.4609866194946,0.758951719123563,304.00000000
34.9422366187244,0.756868385793563,291.00000000
35.0693199518544,0.756868385793563,304.00000000
34.4922366194446,0.754785052463563,271.00000000
34.7818199523145,0.754785052463563,211.00000000
35.1318199517543,0.752701719133563,383.00000000
34.5318199527146,0.750618385803563,268.00000000
34.6026532859346,0.750618385803563,239.00000000
34.6193199525746,0.750618385803563,217.00000000
34.5380699527046,0.748535052473563,243.00000000
34.8234866189145,0.748535052473563,256.00000000
34.8318199522345,0.746451719143563,250.00000000
34.4422366195247,0.744368385813563,305.00000000
35.0339032852444,0.744368385813563,318.00000000
34.8068199522745,0.742285052483563,192.00000000
34.8443199522145,0.742285052483563,242.00000000
34.9651532853544,0.742285052483563,314.00000000
35.0172366186044,0.742285052483563,302.00000000
34.5943199526146,0.740201719153563,297.00000000
34.7505699523645,0.740201719153563,195.00000000
34.7818199523145,0.738118385823563,260.00000000
34.9297366187444,0.738118385823563,339.00000000
34.4797366194646,0.736035052493563,240.00000000
35.0234866185944,0.736035052493563,326.00000000
34.6297366192246,0.733951719163563,164.00000000
34.7380699523845,0.733951719163563,228.00000000
34.8151532855945,0.733951719163563,239.00000000
34.9026532854544,0.733951719163563,258.00000000
34.9797366186644,0.733951719163563,306.00000000
35.0276532852544,0.731868385833563,346.00000000
34.8297366189045,0.729785052503563,212.00000000
34.7797366189845,0.727701719173563,219.00000000
34.9422366187244,0.727701719173563,294.00000000
35.0734866185144,0.725618385843563,306.00000000
34.9526532853744,0.723535052513563,323.00000000
34.6609866191746,0.721451719183563,259.00000000
34.7776532856545,0.721451719183563,218.00000000
34.7984866189545,0.721451719183563,190.00000000
35.0464032852244,0.721451719183563,293.00000000
35.0547366185444,0.721451719183563,315.00000000
34.4484866195147,0.719368385853563,373.00000000
34.9901532853144,0.719368385853563,315.00000000
34.6255699525646,0.715201719193563,167.00000000
34.5318199527146,0.713118385863563,221.00000000
34.5943199526146,0.713118385863563,199.00000000
34.9693199520144,0.713118385863563,311.00000000
34.9172366187644,0.706868385873563,259.00000000
34.5547366193446,0.702701719213564,209.00000000
34.7984866189545,0.702701719213564,215.00000000
34.9964032853044,0.702701719213564,338.00000000
34.4193199528947,0.700618385883564,276.00000000
35.0672366185244,0.700618385883564,322.00000000
34.5443199526946,0.698535052553564,219.00000000
34.8255699522445,0.696451719223564,245.00000000
34.6339032858846,0.694368385893564,206.00000000
34.5380699527046,0.692285052563564,191.00000000
34.5526532860146,0.692285052563564,204.00000000
34.8130699522645,0.690201719233564,181.00000000
34.8464032855445,0.690201719233564,267.00000000
34.4755699528046,0.686035052573564,307.00000000
34.5922366192846,0.686035052573564,218.00000000
34.6672366191645,0.683951719243564,308.00000000
35.0047366186244,0.681868385913564,391.00000000
34.5380699527046,0.679785052583564,222.00000000
34.7797366189845,0.679785052583564,192.00000000
34.8109866189345,0.679785052583564,211.00000000
34.5464032860246,0.677701719253564,207.00000000
34.5547366193446,0.677701719253564,210.00000000
34.5797366193046,0.677701719253564,212.00000000
34.6339032858846,0.677701719253564,169.00000000
34.8380699522245,0.675618385923564,272.00000000
34.8401532855545,0.675618385923564,279.00000000
34.8818199521544,0.675618385923564,272.00000000
34.7547366190245,0.673535052593564,207.00000000
34.5630699526646,0.671451719263564,214.00000000
34.6109866192546,0.671451719263564,181.00000000
34.8109866189345,0.669368385933564,224.00000000
34.8901532854744,0.669368385933564,234.00000000
34.9089032854444,0.669368385933564,336.00000000
34.9234866187544,0.669368385933564,337.00000000
35.0109866186144,0.667285052603564,388.00000000
34.8880699521444,0.663118385943564,286.00000000
34.4922366194446,0.661035052613564,226.00000000
34.5526532860146,0.661035052613564,215.00000000
34.7401532857145,0.661035052613564,220.00000000
34.6526532858546,0.658951719283564,201.00000000
34.9797366186644,0.656868385953564,297.00000000
34.8359866188945,0.652701719293564,285.00000000
34.8943199521344,0.652701719293564,287.00000000
34.4318199528747,0.650618385963564,229.00000000
34.5005699527646,0.650618385963564,263.00000000
34.6651532858345,0.650618385963564,193.00000000
35.0464032852244,0.650618385963564,357.00000000
34.5089032860846,0.648535052633564,195.00000000
34.7214032857445,0.648535052633564,252.00000000
34.7734866189945,0.648535052633564,202.00000000
34.9880699519844,0.648535052633564,340.00000000
34.7464032857045,0.646451719303564,224.00000000
34.7526532856945,0.644368385973564,215.00000000
35.0089032852844,0.640201719313564,319.00000000
35.0589032852044,0.640201719313564,319.00000000
34.5401532860346,0.638118385983564,256.00000000
34.8089032856045,0.638118385983564,251.00000000
34.5693199526546,0.636035052653564,196.00000000
34.7172366190845,0.636035052653564,285.00000000
34.8609866188545,0.636035052653564,225.00000000
34.6964032857845,0.633951719323564,210.00000000
34.3922366196047,0.631868385993564,237.00000000
34.7734866189945,0.631868385993564,200.00000000
35.0172366186044,0.631868385993564,368.00000000
34.8339032855645,0.629785052663564,305.00000000
35.0297366185844,0.629785052663564,356.00000000
34.9005699521244,0.623535052673564,249.00000000
34.9130699521044,0.623535052673564,278.00000000
34.3880699529447,0.619368386013564,209.00000000
34.5651532859946,0.619368386013564,161.00000000
34.4672366194846,0.617285052683564,292.00000000
34.8818199521544,0.617285052683564,238.00000000
34.5609866193346,0.615201719353564,170.00000000
34.7797366189845,0.613118386023564,187.00000000
34.9505699520444,0.611035052693564,274.00000000
34.4422366195247,0.608951719363564,313.00000000
34.5672366193246,0.606868386033564,172.00000000
34.8276532855745,0.606868386033564,212.00000000
34.7193199524145,0.604785052703564,237.00000000
34.4422366195247,0.602701719373564,296.00000000
34.4443199528547,0.600618386043564,288.00000000
34.6901532857945,0.600618386043564,260.00000000
34.8526532855345,0.600618386043564,245.00000000
34.7880699523045,0.598535052713564,233.00000000
34.8859866188144,0.598535052713564,261.00000000
34.8880699521444,0.598535052713564,255.00000000
34.4547366195047,0.596451719383564,328.00000000
34.6484866191946,0.596451719383564,190.00000000
34.7172366190845,0.596451719383564,233.00000000
34.7922366189645,0.594368386053564,248.00000000
34.8714032855044,0.594368386053564,264.00000000
34.9172366187644,0.594368386053564,257.00000000
34.8818199521544,0.592285052723564,282.00000000
34.6526532858546,0.588118386063564,182.00000000
34.6859866191345,0.588118386063564,273.00000000
34.8172366189245,0.586035052733564,227.00000000
34.4734866194746,0.583951719403564,226.00000000
34.8026532856145,0.579785052743564,212.00000000
34.3901532862747,0.577701719413564,268.00000000
34.8672366188445,0.577701719413564,279.00000000
34.6318199525546,0.575618386083564,168.00000000
34.7568199523545,0.567285052763564,187.00000000
34.6630699525046,0.565201719433564,203.00000000
34.5484866193546,0.563118386103564,176.00000000
34.6630699525046,0.558951719443564,203.00000000
34.4276532862147,0.556868386113564,266.00000000
34.4922366194446,0.556868386113564,236.00000000
34.6922366191245,0.556868386113564,213.00000000
34.5859866192946,0.554785052783564,187.00000000
34.6630699525046,0.550618386123564,192.00000000
34.7443199523745,0.550618386123564,171.00000000
34.8193199522545,0.548535052793564,220.00000000
34.4984866194346,0.546451719463564,222.00000000
34.7651532856745,0.546451719463564,207.00000000
34.4880699527846,0.544368386133564,244.00000000
34.4339032862047,0.542285052803564,311.00000000
34.6505699525246,0.538118386143564,197.00000000
34.7734866189945,0.525618386163564,210.00000000
34.4193199528947,0.521451719503564,214.00000000
34.6276532858946,0.521451719503564,180.00000000
34.6401532858746,0.519368386173564,159.00000000
34.7214032857445,0.515201719513564,215.00000000
34.4984866194346,0.511035052853564,273.00000000
34.6839032858045,0.511035052853564,221.00000000
34.6859866191345,0.511035052853564,214.00000000
34.8922366188044,0.508951719523564,334.00000000
34.5609866193346,0.506868386193564,196.00000000
34.8276532855745,0.506868386193564,190.00000000
34.7630699523445,0.500618386203564,177.00000000
34.3901532862747,0.498535052873564,267.00000000
34.4714032861446,0.498535052873564,216.00000000
34.7276532857345,0.496451719543564,186.00000000
34.8318199522345,0.494368386213564,160.00000000
34.8005699522845,0.492285052883564,172.00000000
34.6318199525546,0.490201719553564,165.00000000
34.5651532859946,0.488118386223564,217.00000000
34.5901532859546,0.488118386223564,179.00000000
34.6026532859346,0.488118386223564,217.00000000
34.7714032856645,0.488118386223564,165.00000000
34.8130699522645,0.488118386223564,196.00000000
34.4797366194646,0.486035052893564,214.00000000
34.6297366192246,0.486035052893564,168.00000000
34.8693199521745,0.479785052903564,232.00000000
34.9068199521144,0.479785052903564,275.00000000
34.4526532861747,0.477701719573564,199.00000000
34.5318199527146,0.475618386243564,191.00000000
34.6776532858145,0.473535052913564,192.00000000
34.4151532862347,0.471451719583564,223.00000000
34.4047366195847,0.469368386253564,227.00000000
34.4484866195147,0.469368386253564,211.00000000
34.5651532859946,0.469368386253564,193.00000000
34.6255699525646,0.469368386253564,194.00000000
34.3964032862647,0.465201719593564,223.00000000
34.5714032859846,0.463118386263564,177.00000000
34.7693199523345,0.461035052933564,175.00000000
34.4109866195747,0.458951719603564,198.00000000
34.7734866189945,0.458951719603564,182.00000000
34.5672366193246,0.454785052943564,197.00000000
34.8130699522645,0.452701719613564,206.00000000
34.9318199520744,0.452701719613564,320.00000000
34.5589032860046,0.450618386283564,158.00000000
34.6568199525146,0.450618386283564,220.00000000
34.8359866188945,0.450618386283564,178.00000000
34.9047366187844,0.446451719623564,240.00000000
34.4672366194846,0.444368386293564,213.00000000
34.8651532855145,0.444368386293564,187.00000000
