"X","Y","mg","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
35.0714032851844,0.89853505223357,297,1186.33642578125,47,28,1781,22,60,32,20,18.684476852417,1,-115,1237,103
35.0776532851743,0.89853505223357,277,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0380699519044,0.89645171890357,293,1208.43420410156,46,28,1777,21,61,34,20,18.6876316070557,3,-100,1299,106
35.0714032851844,0.89645171890357,324,1186.33642578125,47,28,1781,22,60,32,20,18.684476852417,1,-115,1237,103
35.0234866185944,0.89436838557357,307,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0422366185644,0.89436838557357,281,1208.43420410156,46,28,1777,21,61,34,20,18.6876316070557,3,-100,1299,106
35.0672366185244,0.89228505224357,288,1302.92529296875,47,28,1812,25,62,32,21,18.6592540740967,4,36,1014,101
35.0568199518744,0.89020171891357,281,1327.8525390625,46,27,1800,22,59,34,20,18.6586112976074,3,-66,1148,101
35.0714032851844,0.88603505225357,291,1247.39184570312,47,28,1799,24,62,32,21,18.6703968048096,3,-10,1129,101
35.0214032852644,0.88395171892357,304,1195.44213867188,46,28,1778,23,60,33,20,18.6950492858887,5,-99,1430,108
35.0255699519244,0.88395171892357,306,1195.44213867188,46,28,1778,23,60,33,20,18.6950492858887,5,-99,1430,108
35.0734866185144,0.88395171892357,288,1346.15649414062,48,28,1811,25,63,31,21,18.6527328491211,3,-6,935,102
35.0776532851743,0.88395171892357,300,1263.33056640625,48,28,1805,25,62,31,21,18.6655368804932,5,-14,1141,102
35.0276532852544,0.88186838559357,269,1213.02221679688,48,28,1815,21,60,32,20,18.6745510101318,3,67,996,105
35.0526532852144,0.87978505226357,276,1428.29724121094,47,28,1825,22,61,33,20,18.6306304931641,3,-16,934,101
35.0922366184843,0.87978505226357,305,1197.80541992188,47,28,1782,22,60,32,21,18.6791133880615,1,-136,1267,101
35.0526532852144,0.87770171893357,293,1428.29724121094,47,28,1825,22,61,33,20,18.6306304931641,3,-16,934,101
35.0755699518444,0.87770171893357,275,1346.15649414062,48,28,1811,25,63,31,21,18.6527328491211,3,-6,935,102
35.0818199518343,0.87770171893357,298,1263.33056640625,48,28,1805,25,62,31,21,18.6655368804932,5,-14,1141,102
35.0839032851643,0.87770171893357,299,1263.33056640625,48,28,1805,25,62,31,21,18.6655368804932,5,-14,1141,102
35.1068199517943,0.87770171893357,275,0,0,0,0,0,0,0,0,0,0,0,0,0
35.1130699517843,0.87770171893357,323,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0318199519144,0.87353505227357,311,1210.49633789062,47,28,1798,24,62,32,20,18.6701602935791,2,-8,1213,106
35.0359866185744,0.87353505227357,264,1269.31274414062,47,28,1812,21,59,32,21,18.6563987731934,3,-47,948,105
35.0776532851743,0.87353505227357,280,1341.4326171875,48,28,1837,22,60,30,21,18.6433372497559,3,88,744,105
35.1005699518043,0.87353505227357,328,1157.8798828125,46,28,1788,23,61,33,21,18.6807861328125,2,-84,1174,103
35.0859866184943,0.87145171894357,285,1243.90954589844,47,28,1804,21,60,32,20,18.6631336212158,4,-23,999,102
35.0297366185844,0.86936838561357,325,1210.49633789062,47,28,1798,24,62,32,20,18.6701602935791,2,-8,1213,106
35.0630699518644,0.86936838561357,268,1435.11938476562,48,28,1850,20,58,31,21,18.6219577789307,4,97,593,104
35.0859866184943,0.86936838561357,288,1243.90954589844,47,28,1804,21,60,32,20,18.6631336212158,4,-23,999,102
35.1130699517843,0.86936838561357,282,1102.115234375,44,27,1798,19,58,35,21,18.671314239502,4,-83,1129,99
35.0193199519344,0.86728505228357,282,1185.95751953125,46,28,1800,24,59,34,20,18.6917037963867,3,49,1285,103
35.0380699519044,0.86728505228357,279,1218.48046875,46,27,1824,17,59,34,20,18.6668109893799,5,64,823,111
35.0693199518544,0.86520171895357,289,1377.94287109375,47,28,1849,23,62,32,21,18.627571105957,3,39,642,107
35.0859866184943,0.86520171895357,280,1270.99597167969,48,28,1831,20,58,32,20,18.6488742828369,3,54,834,104
35.0318199519144,0.86311838562357,277,1189.81750488281,47,28,1823,21,61,32,20,18.6752414703369,3,145,909,106
35.0443199518944,0.86311838562357,263,1265.47692871094,46,27,1832,21,60,34,20,18.6568183898926,3,22,748,102
35.0547366185444,0.86311838562357,301,1317.23254394531,48,28,1847,20,59,31,21,18.6443824768066,4,62,573,100
35.1005699518043,0.86311838562357,272,1167.08056640625,46,28,1799,21,59,34,21,18.6710052490234,2,-72,1098,103
35.1109866184543,0.86311838562357,280,1122.68127441406,46,27,1812,19,58,34,20,18.6492671966553,3,-86,1027,97
35.0776532851743,0.86103505229357,279,1362.70202636719,49,28,1844,21,60,30,21,18.6275882720947,4,69,608,107
35.0318199519144,0.85895171896357,274,1168.91052246094,46,28,1783,23,58,34,20,18.6973857879639,3,-61,1216,103
35.0401532852344,0.85895171896357,260,1182.22509765625,46,28,1783,21,59,34,20,18.683988571167,3,-100,1229,103
35.0651532851944,0.85895171896357,313,1261.0810546875,47,28,1818,18,59,32,21,18.6576728820801,5,-128,883,102
35.0776532851743,0.85895171896357,298,1328.67944335938,47,28,1853,17,57,32,21,18.6280517578125,4,77,393,110
35.0818199518343,0.85895171896357,266,1328.67944335938,47,28,1853,17,57,32,21,18.6280517578125,4,77,393,110
35.0901532851543,0.85895171896357,266,1273.59020996094,45,27,1821,20,59,35,20,18.641695022583,2,-74,736,105
35.0484866185544,0.85686838563357,287,1211.271484375,47,28,1794,22,58,33,21,18.672212600708,1,-126,1143,102
35.0901532851543,0.85686838563357,268,1273.59020996094,45,27,1821,20,59,35,20,18.641695022583,2,-74,736,105
35.0359866185744,0.85478505230357,319,1182.22509765625,46,28,1783,21,59,34,20,18.683988571167,3,-100,1229,103
35.0547366185444,0.85478505230357,308,1235.89489746094,47,28,1805,23,59,31,22,18.6654453277588,5,-123,1008,102
35.0589032852044,0.85478505230357,284,1235.89489746094,47,28,1805,23,59,31,22,18.6654453277588,5,-123,1008,102
35.0755699518444,0.85478505230357,267,1305.50109863281,48,28,1855,22,61,31,21,18.6371307373047,3,57,467,104
35.0380699519044,0.85061838564357,293,1177.03527832031,47,28,1810,19,59,33,20,18.6812419891357,2,54,1060,102
35.0609866185344,0.85061838564357,318,1226.52990722656,49,29,1819,18,60,30,21,18.6508636474609,4,-50,1029,105
35.1151532851143,0.85061838564357,296,1204.92309570312,47,28,1867,24,58,34,19,18.6124439239502,8,-39,637,101
35.0401532852344,0.84853505231357,273,1177.03527832031,47,28,1810,19,59,33,20,18.6812419891357,2,54,1060,102
35.1005699518043,0.84853505231357,272,1230.17163085938,46,27,1835,18,57,35,19,18.6315670013428,3,-30,791,106
35.0776532851743,0.84645171898357,268,1303.23327636719,47,27,1861,22,59,33,20,18.626558303833,4,30,526,107
35.0901532851543,0.84645171898357,261,1292.68664550781,46,27,1858,21,58,35,19,18.6222095489502,3,64,588,106
35.1026532851343,0.84645171898357,281,1193.81787109375,47,28,1837,20,58,34,19,18.6309661865234,4,-74,794,105
35.0880699518243,0.84436838565357,261,1292.68664550781,46,27,1858,21,58,35,19,18.6222095489502,3,64,588,106
35.0859866184943,0.84228505232357,265,1323.33947753906,47,28,1877,18,57,34,19,18.6138229370117,3,105,399,120
35.1005699518043,0.84228505232357,270,1270.30346679688,46,27,1873,16,57,34,19,18.6220436096191,2,97,455,111
35.0422366185644,0.83811838566357,297,1175.34484863281,47,28,1802,18,57,32,21,18.6813716888428,4,28,1192,103
35.0630699518644,0.83811838566357,299,1211.33337402344,48,28,1844,17,62,32,21,18.650218963623,3,66,695,107
