"X","Y","k","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
35.0755699518444,0.89853505223357,287,1186.33642578125,47,28,1781,22,60,32,20,18.684476852417,1,-115,1237,103
35.0297366185844,0.89436838557357,294,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0234866185944,0.89228505224357,309,1196.04016113281,48,28,1771,23,61,32,21,18.698184967041,2,-91,1393,108
35.0276532852544,0.89228505224357,289,1199.13073730469,47,28,1777,22,60,33,20,18.6852378845215,4,-52,1389,104
35.0318199519144,0.88811838558357,295,1199.13073730469,47,28,1777,22,60,33,20,18.6852378845215,4,-52,1389,104
35.0630699518644,0.88603505225357,327,1302.92529296875,47,28,1812,25,62,32,21,18.6592540740967,4,36,1014,101
35.0297366185844,0.88395171892357,315,1213.02221679688,48,28,1815,21,60,32,20,18.6745510101318,3,67,996,105
35.0297366185844,0.88186838559357,342,1213.02221679688,48,28,1815,21,60,32,20,18.6745510101318,3,67,996,105
35.0318199519144,0.88186838559357,316,1213.02221679688,48,28,1815,21,60,32,20,18.6745510101318,3,67,996,105
35.0401532852344,0.88186838559357,334,1291.30810546875,48,28,1825,21,61,32,20,18.653039932251,4,54,891,104
35.0464032852244,0.88186838559357,339,1379.74523925781,48,28,1857,24,63,32,19,18.632532119751,1,170,618,106
35.0755699518444,0.88186838559357,294,1346.15649414062,48,28,1811,25,63,31,21,18.6527328491211,3,-6,935,102
35.0568199518744,0.87978505226357,335,1428.29724121094,47,28,1825,22,61,33,20,18.6306304931641,3,-16,934,101
35.0630699518644,0.87978505226357,348,1413.43762207031,47,28,1843,20,60,32,21,18.6335163116455,3,97,749,102
35.0193199519344,0.87770171893357,301,1195.44213867188,46,28,1778,23,60,33,20,18.6950492858887,5,-99,1430,108
35.0922366184843,0.87770171893357,338,1197.80541992188,47,28,1782,22,60,32,21,18.6791133880615,1,-136,1267,101
35.1130699517843,0.87561838560357,281,1102.115234375,44,27,1798,19,58,35,21,18.671314239502,4,-83,1129,99
35.0172366186044,0.87353505227357,288,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0297366185844,0.87353505227357,321,1210.49633789062,47,28,1798,24,62,32,20,18.6701602935791,2,-8,1213,106
35.0630699518644,0.87353505227357,330,1435.11938476562,48,28,1850,20,58,31,21,18.6219577789307,4,97,593,104
35.0859866184943,0.87353505227357,275,1243.90954589844,47,28,1804,21,60,32,20,18.6631336212158,4,-23,999,102
35.0964032851443,0.87353505227357,286,1157.8798828125,46,28,1788,23,61,33,21,18.6807861328125,2,-84,1174,103
35.0693199518544,0.87145171894357,331,1403.71569824219,47,28,1821,25,62,32,21,18.6364593505859,4,-55,908,104
35.1047366184643,0.87145171894357,307,1116.36950683594,46,28,1784,23,59,34,20,18.6826839447021,2,-110,1229,101
35.0964032851443,0.86936838561357,283,1157.8798828125,46,28,1788,23,61,33,21,18.6807861328125,2,-84,1174,103
35.1026532851343,0.86936838561357,268,1116.36950683594,46,28,1784,23,59,34,20,18.6826839447021,2,-110,1229,101
35.0714032851844,0.86728505228357,383,1377.94287109375,47,28,1849,23,62,32,21,18.627571105957,3,39,642,107
35.0318199519144,0.86520171895357,355,1189.81750488281,47,28,1823,21,61,32,20,18.6752414703369,3,145,909,106
35.0672366185244,0.86311838562357,360,1353.44091796875,47,28,1852,22,60,32,21,18.6378898620605,4,37,548,103
35.0505699518844,0.86103505229357,297,1265.47692871094,46,27,1832,21,60,34,20,18.6568183898926,3,22,748,102
35.0526532852144,0.86103505229357,325,1317.23254394531,48,28,1847,20,59,31,21,18.6443824768066,4,62,573,100
35.0609866185344,0.85895171896357,304,1261.0810546875,47,28,1818,18,59,32,21,18.6576728820801,5,-128,883,102
35.0964032851443,0.85895171896357,292,1186.923828125,45,27,1811,20,58,35,20,18.6554222106934,3,-116,1050,104
35.0276532852544,0.85686838563357,299,1168.91052246094,46,28,1783,23,58,34,20,18.6973857879639,3,-61,1216,103
35.1047366184643,0.85270171897357,320,1149.20971679688,46,28,1823,21,57,34,20,18.6482219696045,16,-91,884,100
35.0547366185444,0.84645171898357,366,1221.40759277344,48,28,1823,17,58,31,21,18.6520557403564,4,29,946,104
35.0859866184943,0.84645171898357,311,1292.68664550781,46,27,1858,21,58,35,19,18.6222095489502,3,64,588,106
