"annual_ppt","elevation","occ","slope","temp_annual_range","treecover","wetness_index","X","Y","k"
1987.44787597656,2371,28,12,17.5392265319824,98,85,34.7130699524245,0.900618385563563,446
1455.31921386719,2173,34,21,17.4703769683838,95,90,34.4568199528346,0.898535052233563,452
1730.37097167969,2384,30,13,17.3345355987549,57,90,34.5755699526446,0.896451718903563,347
1799.5810546875,2357,34,7,17.3409271240234,40,90,34.5943199526146,0.896451718903563,380
1799.59521484375,2195,24,12,17.7058601379395,98,85,34.7005699524445,0.896451718903563,426
1840.5517578125,2335,34,4,17.3694496154785,63,87,34.6068199525946,0.894368385573563,390
1780.22314453125,2438,34,14,17.2099208831787,92,94,34.4901532861146,0.892285052243563,354
1799.5810546875,2357,34,7,17.3409271240234,40,90,34.5943199526146,0.892285052243563,366
1881.42639160156,2383,35,12,17.3937759399414,15,93,34.6068199525946,0.890201718913563,356
1581.9541015625,2204,33,12,17.4211177825928,95,84,34.5193199527346,0.888118385583563,448
1739.87097167969,2199,27,15,17.791072845459,97,87,34.6859866191345,0.888118385583563,401
1196.04016113281,1771,23,2,18.698184967041,26,108,35.0234866185944,0.888118385583563,320
1892.5517578125,2098,31,4,18.1134147644043,19,89,34.7776532856545,0.883951718923563,432
1600.96691894531,2338,40,6,17.3380699157715,41,85,34.4693199528146,0.881868385593563,346
1913.92260742188,2144,36,6,17.9580974578857,16,87,34.7339032857245,0.881868385593563,406
1768.34985351562,1950,25,5,18.3152503967285,15,91,34.7880699523045,0.881868385593563,359
1278.41101074219,1785,23,3,18.6866264343262,12,104,35.0130699519444,0.875618385603563,294
1969.23059082031,2285,26,5,17.59494972229,99,80,34.6589032858446,0.873535052273563,410
1766.4619140625,1994,28,11,18.3233318328857,18,90,34.7797366189845,0.873535052273563,360
1341.54040527344,1813,22,4,18.6665878295898,8,103,35.0005699519644,0.871451718943563,301
1815.68054199219,2101,24,10,17.8989543914795,45,92,34.6797366191445,0.869368385613563,381
1830.49865722656,2119,25,9,18.0007724761963,96,88,34.7130699524245,0.869368385613563,399
1466.57348632812,2172,43,21,17.5989665985107,16,78,34.4568199528346,0.867285052283563,389
1724.41357421875,2251,40,16,17.5453968048096,18,91,34.5797366193046,0.867285052283563,390
1821.27770996094,1998,27,11,18.2323226928711,15,91,34.7547366190245,0.867285052283563,369
1151.13891601562,1744,20,5,18.7202472686768,15,109,34.9714032853444,0.867285052283563,284
1564.51013183594,2173,29,21,17.516284942627,98,84,34.4734866194746,0.865201718953563,349
1351.80932617188,1817,21,2,18.6657543182373,7,107,34.9964032853044,0.861035052293563,317
1377.94287109375,1849,23,3,18.627571105957,8,107,35.0776532851743,0.861035052293563,400
1204.79113769531,1754,19,1,18.6995506286621,27,106,34.9797366186644,0.858951718963563,233
1149.20971679688,1823,21,16,18.6482219696045,12,100,35.1089032851243,0.856868385633563,313
1261.0810546875,1818,18,5,18.6576728820801,14,102,35.0651532851944,0.854785052303563,310
1193.02026367188,1490,22,7,17.8485813140869,39,92,34.4255699528847,0.850618385643563,288
1861.04809570312,2188,40,9,17.6973609924316,15,88,34.6089032859246,0.850618385643563,411
1211.271484375,1794,22,1,18.672212600708,23,102,35.0464032852244,0.850618385643563,306
1235.89489746094,1805,23,5,18.6654453277588,17,102,35.0568199518744,0.850618385643563,304
